gene,direction_consistent_all_studies,min_abs_shift,mean_shift,OSD-48_flight_minus_ground,OSD-379_flight_minus_ground,OSD-463_flight_minus_ground
MZF1,False,0.005270595351854965,-0.030845190750228044,-0.11869609057903291,0.03143111368020374,-0.005270595351854965
GNL3L,False,0.0052634477615356445,-0.017383824454413627,-0.09603185653686541,-0.0052634477615356445,0.04914383093516017
CCDC73,False,0.005260185648997627,0.012586594869693131,-0.024297595024108887,-0.005260185648997627,0.06731756528218591
PMPCA,False,0.005255341529846191,0.040143799781799196,-0.13641705513000524,0.005255341529846191,0.25159311294555664
ANO5,False,0.005242951835195221,0.06731564907564058,-0.005959757789969444,0.20266375318169597,0.005242951835195221
MPIG6B,False,0.005233094096183773,-0.01932056157125367,-0.09556931480765342,0.04284072419007619,-0.005233094096183773
DYM,False,0.005225658416748047,-0.06335290537940146,-0.2802511930465701,-0.005225658416748047,0.09541813532511378
SSR3,False,0.005222129821777166,-0.09885227415296782,0.005222129821777166,-0.04033064842224121,-0.2614483038584394
SEMA4A,False,0.005216042200724136,-0.11902645958794504,-0.2392477512359621,0.005216042200724136,-0.12304766972859715
CHAD,False,0.005215621863802273,-0.029977673023111297,-0.11972000971436501,0.005215621863802273,0.02457136878122886
FMR1,False,0.0052116394042971415,0.03439433309766985,0.0052116394042971415,-0.05459177494049072,0.15256313482920314
ABHD1,False,0.005196412404377959,-0.01013325717714116,-0.38943095207214373,0.005196412404377959,0.3538347681363423
ANKRD45,False,0.005195316672325134,-0.011849512563397488,0.005195316672325134,-0.019090302598973114,-0.02165355176354448
HDDC3,False,0.005191147327423096,0.1392307380835215,-0.005191147327423096,-0.13359328111012791,0.5564766426881155
SIAE,False,0.005190690358479966,-0.02911244233449321,-0.28205783367157,-0.005190690358479966,0.19991119702657034
DCX,False,0.005186025053262711,-0.002712162987639507,-0.009040482342243195,-0.005186025053262711,0.006090018432587386
BEGAIN,False,0.005183978316684564,-0.00021854274802737798,-0.012659870833158494,0.005183978316684564,0.006820264272391796
WDR36,False,0.00517829259236624,-0.14418200651804614,-0.24720966815948509,-0.19051464398701956,0.00517829259236624
TENT4A,False,0.005177021026611328,-0.140816397137112,-0.2837505340576172,0.005177021026611328,-0.1438756783803301
ASCL3,False,0.005169714490572609,0.011380837443802095,0.04594480693340301,-0.005169714490572609,-0.006632580111424119
MAGEH1,False,0.005169200897216841,-0.13464756409327192,-0.005169200897216841,-0.5081977148850758,0.10942422350247694
OGDHL,False,0.005161837053795658,0.003511942405667573,-0.02137555368244648,0.005161837053795658,0.02674954384565354
MAOA,False,0.005153616269429451,-0.07707401911417648,-0.17407443523406974,-0.062301238377889145,0.005153616269429451
SLC8A1,False,0.005150213837623541,0.08128088605072763,-0.021441765874624263,-0.005150213837623541,0.27043463786443067
ADCY9,False,0.005129218101501465,-0.033426393402947285,-0.39468877315521245,-0.005129218101501465,0.29953881104787206
ADAMTS12,False,0.005128299196561187,-0.00499804988503455,-0.04976364001631736,0.029641191164652525,0.005128299196561187
SCAMP4,False,0.0051225571272273855,-0.03968159714713692,-0.10655685514211653,-0.017610493426521618,0.0051225571272273855
BICDL2,False,0.005121169301370784,0.010595280739168324,-0.006112591177225117,0.03277726409335931,0.005121169301370784
HCRTR1,False,0.005118868313729763,0.010174652665025657,0.031120840460062027,-0.005715750778714816,0.005118868313729763
PKD2L2,False,0.005112197995185835,-0.003978185831672619,0.005112197995185835,-0.027238986765344933,0.01019223127514124
PLA2G3,False,0.0051109764414529,-0.007077390131437124,-0.03299736902117731,0.01687617506831884,-0.0051109764414529
