model,training_pool,reference,program,omitted_id,response_attribution_gap,retains_full_sign
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013395,0.20190137811933068,True
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013396,0.15823732748461053,True
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013397,0.15984797529899317,True
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013404,0.1786048577800068,True
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013405,0.16221589389465466,True
expression,OS,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013406,0.17916592922827293,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013395,0.24306443575520628,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013396,0.22474624488777703,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013397,0.20549417145147303,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013404,0.21620146144855262,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013405,0.2591432136860563,True
expression,OS,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013406,0.19796017695984747,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013395,0.10143892354865561,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013396,0.1379083325102038,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013397,0.10124132112739534,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013404,0.12381229978291466,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013405,0.1291532187896038,True
expression,OS,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013406,0.08762305861373629,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013395,0.04567872820137407,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013396,0.03231249986543794,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013397,0.05041797299960206,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013404,0.040789988853315994,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013405,0.03768666579156421,True
expression,OS,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013406,0.04993254642153388,True
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013395,0.14635308942371286,True
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013396,0.12128097288704648,True
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013397,0.1058229549795473,True
