model,training_pool,id,label,reference,program,renormalized,logit_change,matched_random_median,matched_random_abs_percentile,matched_random_signed_percentile
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,inflammatory_signaling,False,0.3497062878914221,0.1241000500481277,0.9,0.9
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,inflammatory_signaling,True,0.4266959314786618,0.05304629793283765,0.8,0.85
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,proteostasis,False,0.1203714977059462,0.01496997077049395,0.4,0.6
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,proteostasis,True,0.174839278777199,0.0174161067666318,0.6,0.65
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,muscle_remodeling,False,0.4579798305092026,-0.0014235589434292996,0.95,0.95
bridge,YA,GSE298393:GSM9013411,1,training_all_mean_TPM,muscle_remodeling,True,1.3600001541217352,0.03726908272233225,1.0,1.0
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,mitochondrial_expression,False,-0.2534797100079231,0.14576864459445454,0.7,0.05
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,mitochondrial_expression,True,-0.3669083451718506,0.1450420608562126,0.7,0.05
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,dna_repair,False,-0.2462745197594813,0.05905849482712705,0.75,0.0
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,dna_repair,True,-0.2332306798130048,0.0889629909554514,0.85,0.0
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,oxidative_stress,False,0.075275730237081,0.04492297423678335,0.5,0.65
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,oxidative_stress,True,0.0850441832603792,0.041671004122918,0.6,0.75
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,inflammatory_signaling,False,0.7786956028385248,0.28740624511624446,0.95,0.95
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,inflammatory_signaling,True,0.8745004287188749,0.342833385573158,0.95,0.95
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,proteostasis,False,0.1439083615825893,0.19878839977604906,0.25,0.4
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,proteostasis,True,0.1831247402717508,0.1564142756873252,0.45,0.55
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,muscle_remodeling,False,0.7095324004803842,0.21393608735615993,0.95,0.95
bridge,YA,GSE298393:GSM9013412,1,training_ground_mean_TPM,muscle_remodeling,True,1.4450299194616036,0.162220323502197,1.0,1.0
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,mitochondrial_expression,False,-0.1017339575346341,0.023555209902156052,0.25,0.4
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,mitochondrial_expression,True,-0.1172503391539976,-0.06755151614856911,0.25,0.45
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,dna_repair,False,-0.2121448363482159,0.0159742300643301,0.8,0.0
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,dna_repair,True,-0.1824154818234546,0.04580895510434855,0.9,0.0
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,oxidative_stress,False,0.0557771290518758,0.00921558633729085,0.6,0.75
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,oxidative_stress,True,0.0719356577883445,0.007989094722461199,0.6,0.8
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,inflammatory_signaling,False,0.5986562184716604,0.053786269778584,0.95,0.95
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,inflammatory_signaling,True,0.6863108046209163,0.0526939996344708,0.9,0.95
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,proteostasis,False,0.0963616951949006,0.0840952760800064,0.45,0.6
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,proteostasis,True,0.1424894739548108,0.08561292502781725,0.55,0.7
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,muscle_remodeling,False,0.36168994779905,0.048071291791075,0.9,0.9
bridge,YA,GSE298393:GSM9013412,1,training_all_mean_TPM,muscle_remodeling,True,1.246736229539465,0.008854270355072899,1.0,1.0
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,mitochondrial_expression,False,0.0501300973983234,0.2161505243493593,0.2,0.35
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,mitochondrial_expression,True,-0.0180465836381245,0.0927306742302107,0.0,0.35
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,dna_repair,False,0.2769567649584132,0.0359400907813096,0.75,0.75
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,dna_repair,True,0.2585394001546319,0.01921770602427835,0.8,0.8
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,oxidative_stress,False,0.0450695255506161,0.02944817307081845,0.45,0.6
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,oxidative_stress,True,0.0273381183997116,-0.01591397749598395,0.2,0.65
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,inflammatory_signaling,False,-0.1103452840247882,0.06440423090145936,0.5,0.1
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,inflammatory_signaling,True,-0.2611115900242566,0.03623644630249595,0.8,0.05
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,proteostasis,False,-0.01159132170892,0.05915676933796015,0.15,0.2
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,proteostasis,True,-0.0620986642045409,0.0379909490008003,0.4,0.15
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,muscle_remodeling,False,0.065495180191192,0.26893589853625594,0.0,0.15
bridge,OS,GSE298393:GSM9013395,0,training_ground_mean_TPM,muscle_remodeling,True,-0.8067086477790326,0.24989672467154375,0.8,0.0
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,mitochondrial_expression,False,0.0316822418269566,0.0555485664647221,0.1,0.45
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,mitochondrial_expression,True,0.0573811631954868,-0.0058174640464585,0.25,0.65
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,dna_repair,False,0.2279848794187273,-0.02474334806936435,0.8,0.9
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,dna_repair,True,0.2154981204166688,0.000521563291386,0.7,0.85
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,oxidative_stress,False,0.0072396890502659,-0.0038618607671879,0.1,0.6
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,oxidative_stress,True,-0.0031114203454762,-0.0368425928456872,0.05,0.7
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,inflammatory_signaling,False,-0.1919303697284249,0.009716618583865922,0.9,0.05
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,inflammatory_signaling,True,-0.3305744018227869,-0.0171998952787362,1.0,0.0
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,proteostasis,False,-0.0412389058153621,-0.00818975241713815,0.25,0.45
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,proteostasis,True,-0.0707920823317636,-0.008973800680450901,0.35,0.4
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,muscle_remodeling,False,-0.3107397488079186,0.058220504081305,0.85,0.0
bridge,OS,GSE298393:GSM9013395,0,training_all_mean_TPM,muscle_remodeling,True,-1.0981548077336356,-0.0261190624229357,1.0,0.0
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,mitochondrial_expression,False,0.1227532756229266,0.17615895796780018,0.25,0.4
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,mitochondrial_expression,True,0.0505674355526934,0.18103822431112346,0.1,0.4
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,dna_repair,False,0.351483507721241,0.0506832135491777,0.8,0.85
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,dna_repair,True,0.2910220580388341,-0.01316990148166035,0.7,0.75
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,oxidative_stress,False,0.0429263123387499,0.01339093120236605,0.35,0.65
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,oxidative_stress,True,4.571239287542994e-05,-0.02254472876188625,0.0,0.65
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,inflammatory_signaling,False,-0.3574516093758575,0.02866573434891955,0.9,0.05
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,inflammatory_signaling,True,-0.5534611169066466,-0.04216685609571865,1.0,0.0
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,proteostasis,False,-0.1234208849084552,0.1210229408886789,0.5,0.05
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,proteostasis,True,-0.2687953631111668,0.0911764529759011,0.7,0.1
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,muscle_remodeling,False,-0.1711130271919501,0.368856388739232,0.3,0.05
bridge,OS,GSE298393:GSM9013396,0,training_ground_mean_TPM,muscle_remodeling,True,-1.0653589400440069,0.2415297164950516,0.9,0.0
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,mitochondrial_expression,False,0.0993602906944488,0.034171446079994894,0.25,0.55
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,mitochondrial_expression,True,0.1226853717253106,-0.0557132700351985,0.25,0.7
