model,training_pool,id,sample_index,label,reference,program,positive_allocated_logit,opposing_allocated_logit,supporting_share_percent,opposing_share_percent
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,inflammatory_signaling,0.5697763840431644,0.5084972064087939,1.1641373179077574,1.4815446861642425
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,proteostasis,0.32793655743839106,0.2894008280510782,0.6700228284493284,0.8431909823038737
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,muscle_remodeling,1.6487912368319342,0.7515134045000151,3.3687240503283706,2.189590575888248
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,outside_six_programs,45.11987067996965,31.74712245499346,92.1865607433557,92.49761843605606
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,mitochondrial_expression,0.3860864421441869,0.4051221714119577,1.227647925334392,1.6917820931691263
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,dna_repair,0.32390496356218224,0.22391059927156892,1.0299280500870909,0.9350461886550486
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,oxidative_stress,0.09892495240407441,0.0652737098590975,0.31455394265647607,0.272581708153529
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,inflammatory_signaling,0.31681422268403847,0.38187802180628744,1.0073814585005207,1.5947149888515264
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,proteostasis,0.19781020175612138,0.18681894920101663,0.628981640606766,0.7801521990796275
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,muscle_remodeling,0.9719156165147333,0.4954009447700234,3.090422402786189,2.068784446874277
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,outside_six_programs,29.153824308921287,22.188070332766678,92.70108458002858,92.65693837521687
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,mitochondrial_expression,0.4289289927191559,0.38674297083263676,0.9399943746191436,1.1826233028773978
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,dna_repair,0.46311354555441453,0.27370863252107425,1.0149095421864092,0.8369750232854462
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,oxidative_stress,0.1239785353415437,0.08368110727414914,0.27169794481781867,0.2558888847027513
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,inflammatory_signaling,0.520572858536446,0.5519765517855494,1.1408311559952353,1.6878919127556542
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,proteostasis,0.29471947147972466,0.27957232333635323,0.6458753079977939,0.8549056333339945
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,muscle_remodeling,1.532395141075349,0.8673698958210244,3.358231401363154,2.652334827970765
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,outside_six_programs,42.26730843802207,30.259075213520248,92.62846027302045,92.529380415074
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,mitochondrial_expression,0.2130665682368053,0.19981742475324346,0.7728620539626253,0.9183290316857367
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,dna_repair,0.2870301889239713,0.17161312598915215,1.0411522708457503,0.7887065705545897
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,oxidative_stress,0.07361927318677189,0.06631383466611776,0.2670411559974411,0.3047678131749892
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,inflammatory_signaling,0.28495753512131,0.4365111110850171,1.0336340783468787,2.006135483218222
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,proteostasis,0.16009475269142398,0.17514799520350943,0.5807159725603496,0.8049522659776248
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,muscle_remodeling,0.8134276373681293,0.5666093140918764,2.9505677956364686,2.604046085553738
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,outside_six_programs,25.736316063449422,20.142792356501044,93.35402667265048,92.5730627498351
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,mitochondrial_expression,0.8057122125520121,0.7829195972057509,1.383903332741647,1.9175526179915574
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,dna_repair,0.7924442798985506,0.4977554412667174,1.3611141334076085,1.219119118907049
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,oxidative_stress,0.1661312346557542,0.11458460818161115,0.285349490464303,0.280644418896111
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,inflammatory_signaling,0.648262391178088,0.5730427584425419,1.113465167421068,1.403515310632626
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,proteostasis,0.38825719142030707,0.3991531277242554,0.6668763521227984,0.9776190655833313
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,muscle_remodeling,1.3089963235387705,0.873432857649464,2.248351640288593,2.139240694450807
bridge,OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,outside_six_programs,54.110463165003026,37.58821793286904,92.94093988355398,92.0623087735385
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,mitochondrial_expression,0.5703943589307052,0.5830831094119675,1.3728165834765655,1.8642417447225852
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,dna_repair,0.6182813169692866,0.3950229559912045,1.488070195470294,1.26297310416895
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,oxidative_stress,0.11642561228447304,0.09916585066092079,0.2802114165104405,0.3170544909789149
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,inflammatory_signaling,0.3966913253274833,0.4429796133518692,0.9547507288672635,1.4163008222008964
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,proteostasis,0.2589309538886149,0.3070903597900146,0.6231911341831492,0.9818337367031149
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,muscle_remodeling,0.9403676926180986,0.9182040031966585,2.263262851006827,2.9356951098392905
bridge,OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,outside_six_programs,38.64811245707368,28.531680414893426,93.01769709048547,91.22190099138625
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,0.04707899768396681,0.1396454480888899,0.4495595645514244,1.5122996679030978
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,0.07312577678952863,0.11585551843613308,0.6982814840635578,1.2546650424593735
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,0.028581245793283055,0.024079106810044864,0.2729236611921625,0.2607662887017597
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,inflammatory_signaling,0.2564594836866906,0.053756584707701074,2.4489436794134662,0.5821605094446967
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,proteostasis,0.05157590223752329,0.09827142806646227,0.4925007177700422,1.0642369662824538
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,muscle_remodeling,0.17745609084393033,0.10825209087805718,1.694536563040809,1.1723232180149126
expression,YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,outside_six_programs,9.837971654407951,8.694119771081962,93.94325432996857,94.15354830719372
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,mitochondrial_expression,0.028096884432635427,0.2558180731861254,0.39397275966360684,1.8008320151857626
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,dna_repair,0.05877862913801345,0.1717289555850702,0.8241902687206503,1.2088864453568289
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,oxidative_stress,0.016546581315330336,0.03714028261385835,0.23201513034046767,0.26144911948977484
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,inflammatory_signaling,0.17807308742053715,0.08274727259553752,2.496929716214349,0.5824996482986151
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,proteostasis,0.037442038163001935,0.1291001149203006,0.5250099219319148,0.9088006066853906
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,muscle_remodeling,0.1191720612118974,0.18909135921481712,1.6710232034095902,1.3311091324704052
expression,YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,outside_six_programs,6.693572730198268,13.339922878648213,93.8568589997194,93.90642303251322
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,mitochondrial_expression,0.05864182094225162,0.11498995567335685,0.532089454159717,1.2041053162500766
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,dna_repair,0.07981699700316863,0.10353459896949821,0.724223458372933,1.084151744428211
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,oxidative_stress,0.030839802963723507,0.020297597207228346,0.27982647301352365,0.21254417015128224
