training_pool,id,sample_index,label,reference,program,kind,replicate,n_genes,renormalized,expression_logit_change,bridge_logit_change,perturbed_logit,original_logit,reference_logit
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,3,136,True,0.028173569241531027,-0.4284202167893909,-7.572736032030889,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,4,136,False,0.033437963637773294,0.4405938889644858,-8.441750137784766,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,4,136,True,-0.1654254585916206,-0.17237944874545974,-7.82877680007482,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,5,136,False,-0.02709006633387645,-0.2947793480582277,-7.706376900762052,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,5,136,True,0.00016049737308776457,-0.2108392894726876,-7.790316959347592,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,6,136,False,0.03004424713395082,0.15573711441834348,-8.156893363238623,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,6,136,True,-0.05018766711036449,-0.09185179194241755,-7.909304456877862,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,7,136,False,0.05602204322069326,-0.8793217014720085,-7.121834547348271,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,7,136,True,0.08127745551220045,-0.8012051299708673,-7.1999511188494125,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,8,136,False,-0.02293582370543845,-0.28375842367540827,-7.717397825144872,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,8,136,True,-0.0384620184370732,-0.33133681139975124,-7.669819437420529,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,9,136,False,-0.004670057683760831,-0.5712139743202442,-7.429942274500036,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,9,136,True,0.01849957796443391,-0.4998230824737675,-7.501333166346512,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,10,136,False,-0.03601242323819065,-0.36119640489982885,-7.639959843920451,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,10,136,True,-0.033793975168556756,-0.3543516365029973,-7.646804612317283,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,11,136,False,0.017715581527070867,0.38441442365069634,-8.385570672470976,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,11,136,True,-0.025657611189046747,0.2506130077206308,-8.25176925654091,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,12,136,False,0.02163049195114297,0.14851576970318092,-8.14967201852346,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,12,136,True,0.0399915790030434,0.20449877324631416,-8.205655022066594,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,13,136,False,-0.03077355561347872,-0.10586650064442438,-7.8952897481758555,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,13,136,True,-0.006119678918992122,-0.030293567452190473,-7.970862681368089,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,14,136,False,-0.03450017331604016,-0.5517784219325677,-7.449377826887712,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,14,136,True,0.025226120691250742,-0.36812070961218524,-7.633035539208095,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,15,136,False,-0.011133866856482655,0.45841349798024567,-8.459569746800526,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,15,136,True,0.0061647018830370826,0.5119257849858059,-8.513082033806086,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,16,136,False,-0.058920828353585364,0.20245838604819255,-8.203614634868472,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,16,136,True,-0.07374590162919503,0.156803309416091,-8.15795955823637,-8.00115624882028,-5.8252854711124655
