model,training_pool,id,sample_index,label,reference,program,label_display,n_genes,mean_log1p_TPM_difference,fraction_genes_above_reference,signed_IG_logit,positive_IG_logit,opposing_IG_logit
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.014117341273265077,0.4508670520231214,0.03661184220762839,0.2247184544464868,0.18810661223885844
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,0.03349230200161829,0.5588235294117647,0.2361034815244633,0.3748139179271672,0.13871043640270386
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.08694686272809672,0.6046511627906976,0.0012607188655989663,0.07222241579045659,0.0709616969248576
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.3277899625868908,0.8306010928961749,-0.19697113797458365,0.639086713540642,0.8360578515152256
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.07636397266212631,0.7156862745098039,-0.03455108019947419,0.15451084049053146,0.18906192069000563
bridge,OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.06929960677914909,0.5842105263157895,-0.30091641542981284,0.8082751230043006,1.1091915384341133
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.11677018634845755,0.7283236994219653,0.15219549224912932,0.47185580080424877,0.3196603085551195
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.2602825490757823,0.8529411764705882,0.3424060253318301,0.710751997488293,0.36834597215646286
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.2665460808852384,0.8372093023255814,0.03560419627522018,0.14952483063462374,0.11392063435940357
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.3074970757410622,0.8142076502732241,-0.3897354643025474,0.6005824683731019,0.9903179326756493
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.3565922896651661,0.9215686274509803,-0.11907580517868233,0.3529263920863433,0.4720021972650256
bridge,OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.14489157280737633,0.6526315789473685,-0.15838351247612115,0.8304937261375442,0.9888772386136655
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.020457673107268492,0.49710982658959535,0.12471134051014282,0.4537485518956481,0.32903721138550523
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,0.16559789537945213,0.7941176470588235,0.29809111984936193,0.6026760356271763,0.3045849157778142
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.20529783083948977,0.7441860465116279,0.0008365261349594544,0.11582298423525329,0.11498645810029383
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.2356349286099112,0.7213114754098361,-0.46664257500339823,0.4823718974435326,0.9490144724469306
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.25608524424480456,0.8627450980392157,-0.146734413839096,0.26839334044224245,0.41512775428133847
bridge,OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.05761075064564418,0.5368421052631579,-0.5729300813546796,0.6803140800970149,1.2532441614516943
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.030959647945585967,0.5722543352601156,0.09977199897660495,0.33437933238041634,0.23460733340381146
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.1059706862194135,0.75,0.22243009101675665,0.41909197891547023,0.19666188789871364
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.12052813107364399,0.7674418604651163,0.015138294197825428,0.07886142508592267,0.06372313088809724
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.1455848514143113,0.6612021857923497,-0.14019944520555738,0.33891509660995567,0.47911454181551305
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.1702147865412282,0.8431372549019608,-0.03822652865794505,0.1985957508830874,0.23682227954103244
bridge,OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.12902741197398618,0.6157894736842106,-0.04424114182881496,0.8618908720031941,0.906132013832009
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,-0.0653528652956031,0.2947976878612717,0.07639086556598165,0.3426503586876591,0.2662594931216774
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,dna_repair,DNA repair expression,136,0.011286032523083337,0.49264705882352944,0.17003399661434393,0.3612516950091469,0.19121769839480293
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.05927988102789535,0.5813953488372093,-0.019655223097955823,0.03814736522230203,0.057802588320257864
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.07372270428316026,0.5519125683060109,-0.2338194047245024,0.27464061296757003,0.5084600176920724
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.0697077411208667,0.6666666666666666,-0.06825761217997929,0.1159376764207683,0.18419528860074758
bridge,OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.04174658981225404,0.4842105263157895,-0.4550051923718731,0.6376378549495878,1.0926430473214608
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.24699458346373773,0.8959537572254336,-0.013891232278384291,0.6295694682021593,0.6434607004805435
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.24076672139413216,0.8897058823529411,0.11683039842275186,0.5013654149739509,0.3845350165511991
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.14923419188274895,0.7209302325581395,0.06781392160532923,0.15874665410164293,0.09093273249631369
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.13611061116578718,0.7103825136612022,-0.07818943627330692,0.580230163657584,0.6584195999308909
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.25797457116491657,0.9019607843137255,0.0417083365824785,0.3386628645912465,0.2969545280087679
bridge,OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.14088381796977237,0.631578947368421,0.7918426623620864,1.6637096582889408,0.8718669959268543
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.15068207022254868,0.9017341040462428,-0.035549107603481095,0.38713847737071694,0.4226875849741981
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,dna_repair,DNA repair expression,136,0.14608206769780202,0.8014705882352942,0.0690319691091037,0.32425968925018833,0.2552277201410846
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.08798594183700029,0.7209302325581395,0.03311227416430737,0.10312013641746345,0.07000786225315608
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.06424846403463616,0.6229508196721312,-0.17970909033031485,0.3247833882697746,0.5044924786000895
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.15746752574455505,0.8627450980392157,0.013864656248208616,0.2057532770988452,0.19188862085063657
bridge,OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.05360299580804023,0.5736842105263158,0.37870538116712127,0.9795698771740492,0.600864496006928
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.15476489913343006,0.815028901734104,0.01922489662004459,0.4293750298918113,0.4101501332717667
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,dna_repair,DNA repair expression,136,0.21713691906017416,0.8308823529411765,0.14432388784403036,0.46792010282845464,0.32359621498442426
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.145050217332535,0.6744186046511628,0.03850168320705269,0.1314847608526231,0.0929830776455704
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.10686926281873564,0.6502732240437158,-0.18514636904827939,0.5290724821128553,0.7142188511611347
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.23011636909316568,0.8431372549019608,0.012727279959943138,0.3020044305659138,0.28927715060597076
bridge,OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,muscle_remodeling,Muscle differentiation/remodeling,190,0.16260397570011648,0.6684210526315789,0.5377685425624896,1.5455907865105403,1.0078222439480504
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,mitochondrial_expression,Mitochondrial expression,173,0.058452385892240985,0.6994219653179191,-0.00038872053717851907,0.2138612251606195,0.21424994569779798
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,dna_repair,DNA repair expression,136,0.122452265363844,0.8088235294117647,0.094442129897267,0.28928979103256275,0.19484766113529575
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,oxidative_stress,Oxidative-stress-associated expression,43,0.08380196728678636,0.627906976744186,0.006071444965055297,0.07754214309477371,0.07147069812971842
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,inflammatory_signaling,Inflammatory signaling,183,0.03500711568758462,0.5737704918032787,-0.2792534575584949,0.2891359106358745,0.5683893681943695
bridge,OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,proteostasis,Unfolded-protein-response expression,102,0.12960932367280417,0.803921568627451,-0.017248852014250866,0.16338383057918873,0.1806326825934396
