model,context,calibration,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,0.875,0.5,6,0,2,0,4,-9.848752385316757,-11.369412237733883
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,0.0,0.5,6,0,2,0,4,-7.672754731492921,-7.017416930086203
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,0.5,0.5,6,0,2,0,4,-9.156123227683208,-9.984153922466778
ncbi__expression__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,0.375,0.5,6,0,2,0,4,-8.143861020686924,-7.959629508474213
original__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.75,0.5,7,4,0,3,0,21.117553167235947,19.52012195333474
original__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,0.16666666666666669,0.5,7,4,0,3,0,20.12519577510939,22.57076845138693
original__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.625,0.5,8,4,0,4,0,24.06050979815542,22.625159771884018
original__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.3125,0.5,8,4,0,4,0,22.441944767099244,23.12164685060192
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,1.0,0.625,5,1,1,0,3,-0.5320755589076573,-5.491952781794404
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,1.0,0.625,5,1,1,0,3,-1.0593486003474561,-7.073771906113807
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,1.0,0.625,5,1,1,0,3,-1.2688251846097849,-7.702201658900793
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,0.875,5,3,1,0,1,4.164821346025068,-8.526453354617722
