route,feature,omitted_source,study,group,n_train,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
original,expression,BFX02_expr.txt,GSE242706,Lung epithelium_6h,29,0.75,0.5,8,4,0,4,0,30.531496588576758,28.39410837621417
original,expression,BFX02_expr.txt,GSE242706,Lung epithelium_7d,29,0.75,0.5,8,4,0,4,0,33.64097131401112,31.55104626300833
original,expression,BFX17_expr.txt,GSE111437,24h,24,1.0,0.5,6,0,3,0,3,-2.8557619894968167,-4.436291442689003
original,expression,BFX17_expr.txt,GSE111437,6h,24,0.7777777777777779,0.5,6,0,3,0,3,-3.2481085955547084,-4.010880826590636
original,expression,BFX17_expr.txt,GSE242706,Lung endothelium_6h,24,0.75,0.5,8,4,0,4,0,22.166314131336822,20.566329278833937
original,expression,BFX17_expr.txt,GSE242706,Lung endothelium_7d,24,1.0,0.5,8,4,0,4,0,33.375857372667525,24.64883819150672
original,expression,BFX17_expr.txt,GSE242706,Lung epithelium_6h,24,0.75,0.5,8,4,0,4,0,21.88290704854112,20.338298653103976
original,expression,BFX17_expr.txt,GSE242706,Lung epithelium_7d,24,0.875,0.5,8,4,0,4,0,24.55683455518133,22.47485155629701
original,expression,BFX36_expr.txt,GSE111437,24h,26,1.0,0.5,6,0,3,0,3,-1.6576196479410334,-4.328117920741232
original,expression,BFX36_expr.txt,GSE111437,6h,26,0.888888888888889,0.5,6,0,3,0,3,-3.0042857898012536,-4.272660127702867
original,expression,BFX36_expr.txt,GSE242706,Lung endothelium_6h,26,0.6875,0.5,8,4,0,4,0,27.50713718249175,25.599925942466058
original,expression,BFX36_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.5,8,4,0,4,0,42.7107781321327,30.951119660079744
original,expression,BFX36_expr.txt,GSE242706,Lung epithelium_6h,26,0.75,0.5,8,4,0,4,0,27.525794355215325,25.788449310487575
original,expression,BFX36_expr.txt,GSE242706,Lung epithelium_7d,26,0.8125,0.5,8,4,0,4,0,29.931987345420048,28.08122435542009
original,bridge,BFX01_expr.txt,GSE111437,24h,26,1.0,1.0,6,3,3,0,0,1.9233728707518079,-3.1578944876438713
original,bridge,BFX01_expr.txt,GSE111437,6h,26,1.0,0.6666666666666666,6,1,3,0,2,-0.33371857912546016,-2.8882279698195568
original,bridge,BFX01_expr.txt,GSE242706,Lung endothelium_6h,26,0.8125,0.625,8,1,4,0,3,-10.291769467668676,-18.435989759863347
original,bridge,BFX01_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,1.0,8,4,4,0,0,14.194627729489184,-8.174418562965146
original,bridge,BFX01_expr.txt,GSE242706,Lung epithelium_6h,26,1.0,0.5,8,0,4,0,4,-12.784897841492029,-18.588352309264856
original,bridge,BFX01_expr.txt,GSE242706,Lung epithelium_7d,26,0.5625,0.5,8,0,4,0,4,-15.319629059022656,-16.51710359406772
original,bridge,BFX02_expr.txt,GSE111437,24h,29,1.0,1.0,6,3,3,0,0,0.8012538241641031,-4.69509927478925
original,bridge,BFX02_expr.txt,GSE111437,6h,29,1.0,0.5,6,0,3,0,3,-3.051010676734856,-5.141482941432689
original,bridge,BFX02_expr.txt,GSE242706,Lung endothelium_6h,29,0.8125,0.5,8,0,4,0,4,-15.970877598961906,-24.027343459558573
original,bridge,BFX02_expr.txt,GSE242706,Lung endothelium_7d,29,1.0,0.875,8,3,4,0,1,8.14104551282601,-14.148028753576618
original,bridge,BFX02_expr.txt,GSE242706,Lung epithelium_6h,29,1.0,0.5,8,0,4,0,4,-18.418162758760474,-24.17989470588971
original,bridge,BFX02_expr.txt,GSE242706,Lung epithelium_7d,29,0.5625,0.5,8,0,4,0,4,-21.250060920967446,-22.341650368775465
original,bridge,BFX17_expr.txt,GSE111437,24h,24,1.0,0.8333333333333333,6,2,3,0,1,0.005237565640920668,-4.6703103899088845
original,bridge,BFX17_expr.txt,GSE111437,6h,24,1.0,0.5,6,0,3,0,3,-1.9816549892502486,-4.18179515665633
original,bridge,BFX17_expr.txt,GSE242706,Lung endothelium_6h,24,0.8125,0.625,8,1,4,0,3,-4.238463631471132,-10.170713713063703
original,bridge,BFX17_expr.txt,GSE242706,Lung endothelium_7d,24,1.0,0.875,8,4,3,1,0,11.956343610130801,-2.8298611195484518
original,bridge,BFX17_expr.txt,GSE242706,Lung epithelium_6h,24,1.0,0.5,8,0,4,0,4,-5.096069998927688,-9.575373403757066
original,bridge,BFX17_expr.txt,GSE242706,Lung epithelium_7d,24,0.625,0.5,8,0,4,0,4,-6.400373284550396,-7.643360687128048
original,bridge,BFX36_expr.txt,GSE111437,24h,26,1.0,1.0,6,3,3,0,0,1.2718901756122214,-3.9097540657785648
original,bridge,BFX36_expr.txt,GSE111437,6h,26,1.0,0.5,6,0,3,0,3,-0.8577913614763909,-3.4157207627799338
original,bridge,BFX36_expr.txt,GSE242706,Lung endothelium_6h,26,0.8125,0.625,8,1,4,0,3,-6.86314493174639,-14.597841763557057
original,bridge,BFX36_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.875,8,4,3,1,0,15.837651050930042,-4.626968889319606
original,bridge,BFX36_expr.txt,GSE242706,Lung epithelium_6h,26,1.0,0.5,8,0,4,0,4,-8.835754149499747,-14.508158566503502
original,bridge,BFX36_expr.txt,GSE242706,Lung epithelium_7d,26,0.75,0.5,8,0,4,0,4,-10.671476344756673,-12.318209344298447
