model,context,calibration,evaluation,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,2,other_cell_held_file,1.0,1.0,4,3,1,0,0,20.912452189350393,-2.04419910226009
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,0,held_file,1.0,1.0,7,4,3,0,0,15.5561283677423,-6.561816898696645
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,1,held_file,1.0,1.0,7,4,3,0,0,15.325997932418094,-6.945367624237008
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,2,held_file,1.0,1.0,7,4,3,0,0,15.584824031444407,-6.513990792526486
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,3,held_file,1.0,1.0,7,4,3,0,0,14.758690615170456,-7.890879819649737
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,4,held_file,1.0,1.0,7,4,3,0,0,15.39220442365153,-6.835023472181267
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,5,held_file,1.0,1.0,7,4,3,0,0,15.651030522677832,-6.4036466404707495
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,6,held_file,1.0,1.0,7,4,3,0,0,14.824897106403892,-7.780535667594002
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,7,held_file,1.0,1.0,7,4,3,0,0,15.420900087353635,-6.787197366011107
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,8,held_file,1.0,1.0,7,4,3,0,0,14.594766671079675,-8.164086393134363
ncbi__bridge__hard_negative__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,9,held_file,1.0,1.0,7,4,3,0,0,14.853592770105992,-7.732709561423843
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,lung_development,0.75,0.5,6,0,2,0,4,-6.349739007396073,-8.825051405161396
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,1,lung_development,0.75,0.5,6,0,2,0,4,-6.821446528953436,-9.768466448276131
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,2,lung_development,0.5,0.5,6,0,2,0,4,-3.461821052295254,-3.0492154949597543
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,lung_development,0.875,0.5,6,0,2,0,4,-7.476952557507533,-11.07947850538433
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,lung_development,0.625,0.5,6,0,2,0,4,-4.117327080849357,-4.360227552067965
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,lung_development,0.625,0.5,6,0,2,0,4,-4.5890346024067155,-5.3036425951826764
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,lung_development,0.5,0.5,6,0,2,0,4,-6.831405733628269,-6.310699572934708
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,1,lung_development,1.0,0.5,6,0,2,0,4,-9.13482450235512,-10.917537110388405
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,2,lung_development,0.5,0.5,6,0,2,0,4,-6.8018906074247205,-6.25166932052761
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,lung_development,0.5,0.5,6,0,2,0,4,-7.6145682870691545,-7.8770246798164685
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,lung_development,0.0,0.5,6,0,2,0,4,-5.2816343921387485,-3.2111568899556566
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,lung_development,0.5,0.5,6,0,2,0,4,-7.585053160865609,-7.817994427409365
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,lung_development,0.75,0.5,6,0,2,0,4,-6.0861346331467745,-8.446826285280192
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,lung_development,0.75,0.5,6,0,2,0,4,-6.063519470815465,-8.401595960617552
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,lung_development,0.5,0.5,6,0,2,0,4,-4.647187990292913,-5.568932999572464
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,lung_development,0.75,0.5,6,0,2,0,4,-6.142601990892484,-8.559761000771607
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,lung_development,0.5,0.5,6,0,2,0,4,-4.726270510369936,-5.7270980397265125
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,lung_development,0.5,0.5,6,0,2,0,4,-4.703655348038627,-5.681867715063891
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,lung_development,0.0,0.5,6,0,2,0,4,-11.926743718410368,-7.371424603111734
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,lung_development,0.0,0.5,6,0,2,0,4,-11.891844984982201,-7.301627136255407
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,lung_development,0.0,0.5,6,0,2,0,4,-12.611872559821741,-8.741682285934488
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,lung_development,0.0,0.5,6,0,2,0,4,-10.934537274059295,-5.387011714409587
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,lung_development,0.0,0.5,6,0,2,0,4,-11.654564848898836,-6.827066864088663
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,lung_development,0.0,0.5,6,0,2,0,4,-11.619666115470666,-6.757269397232326
ncbi__bridge__ir_control__absolute,GSE111437|NCBI_gene_counts|IMR90|24h,0,new_2Gy_challenge,1.0,1.0,6,3,3,0,0,3.170079745124891,-1.6819597173196879
ncbi__bridge__ir_control__absolute,GSE111437|NCBI_gene_counts|IMR90|6h,0,new_2Gy_challenge,1.0,0.8333333333333333,6,3,2,1,0,1.3611951686129953,-0.8883126052485794
ncbi__bridge__ir_control__absolute,GSE230181|BFX01_expr.txt|IMR90|A,0,held_file,1.0,1.0,9,4,5,0,0,2.425210418907464,-12.445912023819279
ncbi__bridge__ir_control__absolute,GSE230181|BFX02_expr.txt|IMR90|E,0,held_file,1.0,0.8333333333333333,6,3,2,1,0,8.80365806583565,-0.5010217950567363
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|ADSC|ADSC,0,other_cell_held_file,1.0,1.0,5,2,3,0,0,2.605122626684705,-2.9921831575855697
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,0,other_cell_held_file,1.0,0.5,6,0,3,0,3,-3.048623179126206,-5.509064638604253
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,0,other_cell_held_file,1.0,0.5,5,0,2,0,3,-5.446281924261584,-10.202743958528625
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|IMR90|B,0,held_file,1.0,1.0,5,3,2,0,0,3.937201493018789,-4.736274094837097
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|IMR90|C,0,held_file,1.0,1.0,6,3,3,0,0,4.2415573897525025,-7.4930526161063895
ncbi__bridge__ir_control__absolute,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,0,other_cell_held_file,1.0,0.5,6,3,0,3,0,13.545404125759353,5.426072705071728
ncbi__bridge__ir_control__absolute,GSE230181|BFX36_expr.txt|IMR90|D,0,held_file,1.0,1.0,9,4,5,0,0,10.473136514995833,-6.944948696144031
ncbi__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,lung_development,0.875,0.75,8,3,3,1,1,4.40571523283958,-0.6277008120605745
ncbi__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,lung_development,1.0,0.5,8,4,0,4,0,16.95329289772649,5.957153712919244
ncbi__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,lung_development,1.0,0.75,8,4,2,2,0,3.8433296053116246,0.05968026781773583
ncbi__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,lung_development,0.5625,0.625,8,4,1,3,0,2.48961339407441,1.7662210651433803
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|24h,0,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-1.0693044155846383,-7.22318573166745
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|24h,1,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-1.1640592344972542,-7.507450188405293
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|24h,2,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-1.013779652889793,-7.056611443582918
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|6h,0,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-4.8021084575988615,-6.458367227737939
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|6h,1,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-5.294685636858824,-7.936098765517815
ncbi__bridge__ir_control__matched_control,GSE111437|NCBI_gene_counts|IMR90|6h,2,new_2Gy_challenge,1.0,0.5,4,0,1,0,3,-5.113579838486193,-7.392781370399924
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,0,held_file,1.0,1.0,7,4,3,0,0,7.733705726594003,-7.2290280849879265
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,1,held_file,1.0,1.0,7,4,3,0,0,7.93708819090563,-6.89005731113521
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,2,held_file,1.0,1.0,7,4,3,0,0,7.835751632147454,-7.058951575732164
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,3,held_file,1.0,1.0,7,4,3,0,0,7.468164227499581,-7.671597250145293
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,4,held_file,1.0,1.0,7,4,3,0,0,8.045543263424868,-6.709298856936479
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,5,held_file,1.0,1.0,7,4,3,0,0,7.944206704666687,-6.878193121533438
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,6,held_file,1.0,1.0,7,4,3,0,0,7.576619300018819,-7.490838795946575
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,7,held_file,1.0,1.0,7,4,3,0,0,8.14758916897832,-6.539222347680717
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,8,held_file,1.0,1.0,7,4,3,0,0,7.780001764330449,-7.151868022093839
ncbi__bridge__ir_control__matched_control,GSE230181|BFX01_expr.txt|IMR90|A,9,held_file,1.0,1.0,7,4,3,0,0,7.678665205572264,-7.320762286690808
ncbi__bridge__ir_control__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,0,held_file,1.0,1.0,4,3,1,0,0,2.3371947477981614,-8.729956549203322
ncbi__bridge__ir_control__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,1,held_file,1.0,1.0,4,3,1,0,0,2.691896905737772,-7.665850075384494
ncbi__bridge__ir_control__matched_control,GSE230181|BFX02_expr.txt|IMR90|E,2,held_file,1.0,1.0,4,3,1,0,0,3.6560089031271463,-4.773514083216366
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,0,other_cell_held_file,1.0,1.0,3,2,1,0,0,2.350682341451983,-5.48251614595971
