gene,source_row,method
ADGRG1,1653,exact_symbol
ADGRG2,1654,exact_symbol
ADGRG3,1655,exact_symbol
ADGRG4,1656,exact_symbol
ADGRG5,1657,exact_symbol
ADGRG6,1658,exact_symbol
ADGRG7,1659,exact_symbol
ADGRL1,1660,exact_symbol
ADGRL2,1661,exact_symbol
ADGRL3,1662,exact_symbol
ADGRL4,1663,exact_symbol
ADGRV1,1664,exact_symbol
ADH4,1668,exact_symbol
ADH5,1669,exact_symbol
ADH6,1673,exact_symbol
ADH7,1674,exact_symbol
ADHFE1,1675,exact_symbol
ADI1,1676,exact_symbol
ADIG,1677,exact_symbol
ADIPOQ,1678,exact_symbol
ADIPOR1,1679,exact_symbol
ADIPOR2,1682,exact_symbol
ADK,1684,exact_symbol
ADM,1685,exact_symbol
ADM2,1686,exact_symbol
ADNP,1688,exact_symbol
ADNP2,1689,exact_symbol
ADO,1690,exact_symbol
ADORA1,1691,exact_symbol
ADORA2A,1692,exact_symbol
ADORA2B,1693,exact_symbol
ADORA3,1695,exact_symbol
ADPGK,1696,exact_symbol
ADPRH,1697,exact_symbol
ADPRM,1700,exact_symbol
ADPRS,1699,hgnc_previous_symbol
ADRA1A,1701,exact_symbol
ADRA1B,1702,exact_symbol
ADRA1D,1703,exact_symbol
ADRA2A,1704,exact_symbol
ADRA2B,1705,exact_symbol
ADRA2C,1706,exact_symbol
ADRB1,1707,exact_symbol
ADRB2,1708,exact_symbol
ADRB3,1709,exact_symbol
ADSL,1711,exact_symbol
ADTRP,1714,exact_symbol
AEBP1,1721,exact_symbol
AEBP2,1722,exact_symbol
AEN,1723,exact_symbol
AFAP1,1753,exact_symbol
AFAP1L1,1754,exact_symbol
AFAP1L2,1755,exact_symbol
AFDN,15688,hgnc_previous_symbol
AFF1,1756,exact_symbol
AFF2,1757,exact_symbol
AFF3,1758,exact_symbol
AFF4,1759,exact_symbol
AFG1L,14296,hgnc_previous_symbol
AFG3L2,1761,exact_symbol
AFM,1763,exact_symbol
AFMID,1764,exact_symbol
AFP,1765,exact_symbol
AFTPH,1766,exact_symbol
AGA,1767,exact_symbol
AGAP1,1768,exact_symbol
AGAP2,1773,exact_symbol
AGAP3,1774,exact_symbol
AGBL1,1780,exact_symbol
AGBL2,1781,exact_symbol
AGBL3,1782,exact_symbol
AGBL4,1783,exact_symbol
AGBL5,1784,exact_symbol
AGER,1785,exact_symbol
AGFG1,1786,exact_symbol
AGFG2,1787,exact_symbol
AGGF1,1788,exact_symbol
AGK,1799,exact_symbol
AGL,1801,exact_symbol
AGMAT,1802,exact_symbol
AGMO,1803,exact_symbol
AGO1,1804,exact_symbol
AGO2,1805,exact_symbol
AGO3,1806,exact_symbol
AGO4,1807,exact_symbol
AGPAT1,1808,exact_symbol
AGPAT2,1809,exact_symbol
AGPAT3,1810,exact_symbol
AGPAT4,1811,exact_symbol
AGPAT5,1812,exact_symbol
AGPS,1814,exact_symbol
AGR2,1815,exact_symbol
AGR3,1816,exact_symbol
AGRN,1817,exact_symbol
AGRP,1818,exact_symbol
AGT,1819,exact_symbol
AGTPBP1,1820,exact_symbol
AGTR2,1822,exact_symbol
AGTRAP,1823,exact_symbol
AGXT,1824,exact_symbol
AGXT2,1825,exact_symbol
AHCTF1,1826,exact_symbol
AHCYL1,1828,exact_symbol
AHCYL2,1829,exact_symbol
AHDC1,1836,exact_symbol
AHI1,1837,exact_symbol
AHNAK,1838,exact_symbol
AHR,1840,exact_symbol
AHRR,1841,exact_symbol
