id.accession,study.characteristics.material type,counts_file,Ground Control,Ground control,Space Flight
OSD-580,Heart,GLDS-573_rna_seq_STAR_Unnormalized_Counts.csv,10,0,10
OSD-580,heart right ventricle,GLDS-573_rna_seq_STAR_Unnormalized_Counts.csv,10,0,10
OSD-599,Heart,GLDS-596_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,3
OSD-612,Left cerebral hemisphere,GLDS-588_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,5,0,5
OSD-613,Left cerebral hemisphere,GLDS-589_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,9,0,9
OSD-665,Right extensor digitorum longus,GLDS-604_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-666,Right quadriceps femoris,GLDS-605_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-667,Colon,GLDS-606_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,9
OSD-686,Liver,GLDS-617_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,3,0,6
OSD-690,Bone Marrow,GLDS-620_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,12,0,12
OSD-714,Soleus,GLDS-638_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,9,0,12
OSD-770,Right soleus,GLDS-673_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,10,0,10
OSD-771,Right kidney,GLDS-674_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,20,0,20
OSD-98,Adrenal glands- both sides,GLDS-98_rna_seq_Unnormalized_Counts.csv,5,0,6
OSD-99,Extensor digitorum longus- both sides,GLDS-99_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,6,0,6
