study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-599,mouse,actual_flight,heart,Heart,|||c57bl/6j|female|9 - 11 {week}||30 {day}||rnalater or rnaprotect or liquid nitrogen,OSD-599|Heart|9de7889f,3,3,0,0,model_std,1.1691901690188446,1.0,0.3994967025496485,0.8950054290592506,within-condition sample splits,6,9,0.14285714285714288
OSD-665,mouse,actual_flight,skeletal muscle,Right extensor digitorum longus,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-665|Right extensor digitorum longus|52cb5fea,6,6,0,0,raw,1.3159274019046763,1.0,0.6971635892771373,0.985241562298276,within-condition sample splits,12,400,0.055944055944055944
OSD-665,mouse,actual_flight,skeletal muscle,Right extensor digitorum longus,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-665|Right extensor digitorum longus|52cb5fea,6,6,0,0,PCA8_descriptive,1.3990243083432425,1.0,0.7261944625578096,0.9855858199448474,within-condition sample splits,12,400,0.055944055944055944
OSD-665,mouse,actual_flight,skeletal muscle,Right extensor digitorum longus,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-665|Right extensor digitorum longus|52cb5fea,6,6,0,0,model_mean,0.6084870776375942,0.69,0.2303092252225233,0.8994992397773451,within-condition sample splits,12,400,0.20979020979020982
OSD-665,mouse,actual_flight,skeletal muscle,Right extensor digitorum longus,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-665|Right extensor digitorum longus|52cb5fea,6,6,0,0,model_std,0.8212030169927728,0.97,0.37891736702843326,0.9354279436559939,within-condition sample splits,12,400,-0.09090909090909093
OSD-666,mouse,actual_flight,skeletal muscle,Right quadriceps femoris,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-666|Right quadriceps femoris|52cb5fea,6,6,0,0,raw,1.3724117585383435,1.0,0.7128477035017933,0.9873083644894358,within-condition sample splits,12,400,-0.06293706293706294
OSD-666,mouse,actual_flight,skeletal muscle,Right quadriceps femoris,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-666|Right quadriceps femoris|52cb5fea,6,6,0,0,PCA8_descriptive,1.4339155089234763,1.0,0.73708970967684,0.9877216421146847,within-condition sample splits,12,400,-0.06293706293706294
OSD-666,mouse,actual_flight,skeletal muscle,Right quadriceps femoris,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-666|Right quadriceps femoris|52cb5fea,6,6,0,0,model_mean,1.5145627110365951,1.0,0.8822985617986736,0.9936336634114684,within-condition sample splits,12,400,-0.006993006993006993
OSD-666,mouse,actual_flight,skeletal muscle,Right quadriceps femoris,|||c57bl/6j|male|16-17 {week}||38 {day}||liquid nitrogen,OSD-666|Right quadriceps femoris|52cb5fea,6,6,0,0,model_std,1.174458993902493,1.0,0.6783994765110457,0.9785046964768441,within-condition sample splits,12,400,0.06293706293706294
OSD-667,mouse,actual_flight,colon,Colon,|||b6;129s2|female|14-15 {week}|p21-null|29 {day}|cryochiller|rnalater for 24 hours,OSD-667|Colon|1cbbec91,3,3,0,0,raw,0.5222328907711499,0.0,-0.3012221118127536,0.7630690869607599,within-condition sample splits,6,9,0.2
OSD-667,mouse,actual_flight,colon,Colon,|||b6;129s2|female|14-15 {week}|p21-null|29 {day}|cryochiller|rnalater for 24 hours,OSD-667|Colon|1cbbec91,3,3,0,0,PCA8_descriptive,0.5222328907711488,0.0,-0.30122211181275527,0.7630690869607596,within-condition sample splits,6,9,0.2
OSD-667,mouse,actual_flight,colon,Colon,|||b6;129s2|female|14-15 {week}|p21-null|29 {day}|cryochiller|rnalater for 24 hours,OSD-667|Colon|1cbbec91,3,3,0,0,model_mean,0.3113985816064607,0.0,-0.7294733335238814,0.14160709296522647,within-condition sample splits,6,9,-0.6
OSD-667,mouse,actual_flight,colon,Colon,|||b6;129s2|female|14-15 {week}|p21-null|29 {day}|cryochiller|rnalater for 24 hours,OSD-667|Colon|1cbbec91,3,3,0,0,model_std,0.4550349326053094,0.1111111111111111,-0.37582747480051953,0.6611677462230919,within-condition sample splits,6,9,-0.08571428571428573
OSD-686,mouse,actual_flight,liver,Liver,|||c57bl/6j|male|9 {week}||30 {day}||liquid nitrogen,OSD-686|Liver|df0bb62b,3,6,0,0,raw,1.116788769789963,1.0,0.44129621221333637,0.9317121896700139,within-condition sample splits,9,60,0.016666666666666666
OSD-686,mouse,actual_flight,liver,Liver,|||c57bl/6j|male|9 {week}||30 {day}||liquid nitrogen,OSD-686|Liver|df0bb62b,3,6,0,0,PCA8_descriptive,1.1167887697899623,1.0,0.4412962122133358,0.9317121896700139,within-condition sample splits,9,60,0.016666666666666666
OSD-686,mouse,actual_flight,liver,Liver,|||c57bl/6j|male|9 {week}||30 {day}||liquid nitrogen,OSD-686|Liver|df0bb62b,3,6,0,0,model_mean,0.9773213313494862,0.6666666666666666,0.3785264275509793,0.7904319527528161,within-condition sample splits,9,60,0.15
OSD-686,mouse,actual_flight,liver,Liver,|||c57bl/6j|male|9 {week}||30 {day}||liquid nitrogen,OSD-686|Liver|df0bb62b,3,6,0,0,model_std,1.52788275079404,1.0,0.7064352395062619,0.9564826067016206,within-condition sample splits,9,60,0.06666666666666667
OSD-770,mouse,actual_flight,skeletal muscle,Right soleus,|||c57bl/6j|male|16 - 17 {week}||38 {day}||liquid nitrogen,OSD-770|Right soleus|df447f03,6,6,0,0,raw,1.7191084683545195,1.0,0.8644648711566447,0.9828800588336937,within-condition sample splits,12,400,-0.5524475524475525
OSD-770,mouse,actual_flight,skeletal muscle,Right soleus,|||c57bl/6j|male|16 - 17 {week}||38 {day}||liquid nitrogen,OSD-770|Right soleus|df447f03,6,6,0,0,PCA8_descriptive,1.7665349574996765,1.0,0.8716952330781234,0.9828986325638248,within-condition sample splits,12,400,-0.5524475524475525
OSD-770,mouse,actual_flight,skeletal muscle,Right soleus,|||c57bl/6j|male|16 - 17 {week}||38 {day}||liquid nitrogen,OSD-770|Right soleus|df447f03,6,6,0,0,model_mean,2.180541284750228,1.0,0.9835153577160576,0.9968859426325264,within-condition sample splits,12,400,-0.4825174825174825
OSD-770,mouse,actual_flight,skeletal muscle,Right soleus,|||c57bl/6j|male|16 - 17 {week}||38 {day}||liquid nitrogen,OSD-770|Right soleus|df447f03,6,6,0,0,model_std,1.7244134452730318,1.0,0.9415183660733897,0.9914681391355361,within-condition sample splits,12,400,-0.5664335664335665
OSD-99,mouse,actual_flight,skeletal muscle,Extensor digitorum longus- both sides,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-99|Extensor digitorum longus- both sides|2664dccf,6,6,0,0,raw,1.291116780756935,1.0,0.6868227030631622,0.9846044427002009,within-condition sample splits,12,400,0.3636363636363637
OSD-99,mouse,actual_flight,skeletal muscle,Extensor digitorum longus- both sides,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-99|Extensor digitorum longus- both sides|2664dccf,6,6,0,0,PCA8_descriptive,1.3835633227414452,1.0,0.7237037905300996,0.9849143502578838,within-condition sample splits,12,400,0.3636363636363637
OSD-99,mouse,actual_flight,skeletal muscle,Extensor digitorum longus- both sides,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-99|Extensor digitorum longus- both sides|2664dccf,6,6,0,0,model_mean,1.1442265804043767,0.98,0.7288496437904457,0.9412901638342118,within-condition sample splits,12,400,0.20979020979020982
OSD-99,mouse,actual_flight,skeletal muscle,Extensor digitorum longus- both sides,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-99|Extensor digitorum longus- both sides|2664dccf,6,6,0,0,model_std,1.54936743140923,1.0,0.8299476211060786,0.9911476417078351,within-condition sample splits,12,400,0.2447552447552448
GSE137081,human,actual_flight,heart,hiPSC-derived cardiomyocytes,all_lines,GSE137081|all_lines,6,6,7,5,raw,0.7187451359343321,0.3333333333333333,-0.031103412041502406,0.7790569644790073,donor/cell-line paired differences,3,3,-0.1398601398601399
GSE137081,human,actual_flight,heart,hiPSC-derived cardiomyocytes,all_lines,GSE137081|all_lines,6,6,7,5,PCA8_descriptive,0.7197712622491937,0.3333333333333333,-0.03133726189117301,0.778326144721965,donor/cell-line paired differences,3,3,-0.18181818181818185
GSE137081,human,actual_flight,heart,hiPSC-derived cardiomyocytes,all_lines,GSE137081|all_lines,6,6,7,5,model_mean,0.6714025778984395,0.3333333333333333,-0.10023957774992379,0.4981970017650584,donor/cell-line paired differences,3,3,-0.1188811188811189
GSE137081,human,actual_flight,heart,hiPSC-derived cardiomyocytes,all_lines,GSE137081|all_lines,6,6,7,5,model_std,0.6388699852789242,0.3333333333333333,-0.20858847768534067,0.7320516708459416,donor/cell-line paired differences,3,3,0.14685314685314685
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,old,GSE113165|old,6,6,11,1,raw,0.7097677983059247,1.0,0.4774499452781724,0.94644912226438,donor/cell-line paired differences,6,20,0.09090909090909093
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,old,GSE113165|old,6,6,11,1,PCA8_descriptive,0.9079813188519216,1.0,0.6384817794508872,0.9608760571337825,donor/cell-line paired differences,6,20,0.027972027972027972
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,old,GSE113165|old,6,6,11,1,model_mean,0.7346784018136372,0.9,0.756488805219091,0.9204263603837088,donor/cell-line paired differences,6,20,0.1328671328671329
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,old,GSE113165|old,6,6,11,1,model_std,0.9101507488586903,1.0,0.7089022716589167,0.9557577825142012,donor/cell-line paired differences,6,20,0.2867132867132868
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,young,GSE113165|young,6,6,11,1,raw,0.5752894083571773,1.0,0.27559809539263824,0.9091561047681179,donor/cell-line paired differences,6,20,0.2937062937062937
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,young,GSE113165|young,6,6,11,1,PCA8_descriptive,0.6803282313228337,1.0,0.4856322348139809,0.9238911731077655,donor/cell-line paired differences,6,20,0.2867132867132868
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,young,GSE113165|young,6,6,11,1,model_mean,0.5926638335545187,0.8,0.5324764919317726,0.8188127043537415,donor/cell-line paired differences,6,20,0.4755244755244756
GSE113165,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,young,GSE113165|young,6,6,11,1,model_std,0.596081143620118,0.9,0.4100281638685995,0.8806169565391281,donor/cell-line paired differences,6,20,0.2657342657342658
GSE126865,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,all_subjects,GSE126865|all_subjects,3,3,4,2,raw,0.6873522863744854,0.6666666666666666,0.08246337517494377,0.7655021688036933,donor/cell-line paired differences,3,3,0.08571428571428573
GSE126865,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,all_subjects,GSE126865|all_subjects,3,3,4,2,PCA8_descriptive,0.6873522863744851,0.6666666666666666,0.08246337517494332,0.7655021688036929,donor/cell-line paired differences,3,3,0.08571428571428573
GSE126865,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,all_subjects,GSE126865|all_subjects,3,3,4,2,model_mean,0.3305168793646041,0.3333333333333333,-0.5560504039315192,-0.16191157703971876,donor/cell-line paired differences,3,3,0.028571428571428574
GSE126865,human,bed_rest_analog,skeletal muscle,human skeletal muscle biopsy,all_subjects,GSE126865|all_subjects,3,3,4,2,model_std,0.46135506655421393,0.3333333333333333,-0.30179005253989527,0.41804739442747274,donor/cell-line paired differences,3,3,0.14285714285714288
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,YA,GSE234465|YA,3,3,0,0,raw,1.6438323396415144,1.0,0.5702780310390757,0.9605494005920381,within-condition sample splits,6,9,0.08571428571428573
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,YA,GSE234465|YA,3,3,0,0,PCA8_descriptive,1.6438323396415158,1.0,0.5702780310390764,0.9605494005920383,within-condition sample splits,6,9,0.08571428571428573
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,YA,GSE234465|YA,3,3,0,0,model_mean,1.610361360037052,1.0,0.6769196813102245,0.9612662037397188,within-condition sample splits,6,9,0.3714285714285715
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,YA,GSE234465|YA,3,3,0,0,model_std,1.229528466511474,1.0,0.41314046044839703,0.8515472221776662,within-condition sample splits,6,9,0.14285714285714288
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,OS,GSE234465|OS,3,3,0,0,raw,2.524117612398507,1.0,0.8367551362243008,0.9835043257683558,within-condition sample splits,6,9,-0.48571428571428577
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,OS,GSE234465|OS,3,3,0,0,PCA8_descriptive,2.5241176123985096,1.0,0.8367551362243012,0.983504325768356,within-condition sample splits,6,9,-0.48571428571428577
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,OS,GSE234465|OS,3,3,0,0,model_mean,2.581110247077921,1.0,0.9848673435038415,0.9946118854691008,within-condition sample splits,6,9,-0.48571428571428577
GSE234465,human,actual_flight,skeletal muscle,human muscle chip,OS,GSE234465|OS,3,3,0,0,model_std,2.368355116167989,1.0,0.8800878461064303,0.9819204423729967,within-condition sample splits,6,9,-0.5428571428571429
