study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|YNG||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a8ed2e02,6,6,0,0,PCA8_descriptive,0.5656605233605767,0.595,0.03956707436450957,0.8546963410938392,within-condition sample splits,12,400,0.006993006993006993
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|YNG||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a8ed2e02,6,6,0,0,model_mean,0.2756738769763683,0.28,-0.5934227951119493,0.03697365832683702,within-condition sample splits,12,400,-0.17482517482517487
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,ISS-T|YNG||balb/canntac|female||||-80 {degree celsius}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a8ed2e02,6,6,0,0,model_std,0.39026393052179564,0.15,-0.3209400619760856,0.7037946073879345,within-condition sample splits,12,400,-0.20979020979020982
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|OLD||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a45ca5be,6,6,0,0,raw,0.7680978527438593,0.94,0.3266742377977404,0.936066508376065,within-condition sample splits,12,400,0.1258741258741259
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|OLD||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a45ca5be,6,6,0,0,PCA8_descriptive,0.7874647219496625,0.95,0.34382658268211275,0.9356087801492611,within-condition sample splits,12,400,0.10489510489510491
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|OLD||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a45ca5be,6,6,0,0,model_mean,0.40384729175383277,0.435,-0.12565899334178543,0.6944414379188206,within-condition sample splits,12,400,-0.013986013986013986
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|OLD||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|a45ca5be,6,6,0,0,model_std,0.6843748919356872,0.795,0.2624903687136043,0.9028063433167551,within-condition sample splits,12,400,-0.2447552447552448
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|YNG||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|9abbe127,6,6,0,0,raw,0.5414933952921196,0.46,-0.028012074973309153,0.7403748984062171,within-condition sample splits,12,400,-0.4825174825174825
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|YNG||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|9abbe127,6,6,0,0,PCA8_descriptive,0.541111820995053,0.48,-0.025598943950921098,0.7298544099688656,within-condition sample splits,12,400,-0.4895104895104896
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|YNG||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|9abbe127,6,6,0,0,model_mean,0.5316308776341796,0.495,-0.007272954387673091,0.7711783717399828,within-condition sample splits,12,400,-0.013986013986013986
