id,source_nonzero,source_total,coverage
OSD-457:GSM4613924,13899,12189400.0,1.0
OSD-457:GSM4613925,13835,12215353.0,1.0
OSD-457:GSM4613926,13928,11932893.0,1.0
OSD-457:GSM4613929,13806,11977001.0,1.0
OSD-457:GSM4613928,13860,12250843.0,1.0
OSD-457:GSM4613927,13791,11957507.0,1.0
OSD-457:GSM4613921,13790,12332408.0,1.0
OSD-457:GSM4613922,13764,12380323.0,1.0
OSD-457:GSM4613923,13726,12414855.0,1.0
OSD-457:GSM4613956,13517,10811142.0,1.0
OSD-457:GSM4613955,13484,10878076.0,1.0
OSD-457:GSM4613948,13459,10685145.0,1.0
OSD-457:GSM4613946,13465,10868718.0,1.0
OSD-457:GSM4613945,13456,10837664.0,1.0
OSD-457:GSM4613953,13429,10855918.0,1.0
OSD-457:GSM4613941,13447,10815332.0,1.0
OSD-457:GSM4613944,13470,10597742.0,1.0
OSD-457:GSM4613934,13493,10902817.0,1.0
OSD-457:GSM4613943,13423,10768556.0,1.0
OSD-457:GSM4613936,13653,10967107.0,1.0
OSD-457:GSM4613933,13452,10821587.0,1.0
OSD-457:GSM4613949,13383,10710781.0,1.0
OSD-457:GSM4613954,13388,11041646.0,1.0
OSD-457:GSM4613947,13404,10969838.0,1.0
OSD-457:GSM4613952,13415,10536645.0,1.0
OSD-457:GSM4613950,13410,10834977.0,1.0
OSD-457:GSM4613951,13459,10896150.0,1.0
OSD-457:GSM4613939,13472,10683454.0,1.0
OSD-457:GSM4613937,13455,11048333.0,1.0
OSD-457:GSM4613935,13448,11011176.0,1.0
OSD-457:GSM4613938,13459,10955700.0,1.0
OSD-457:GSM4613942,13338,10810326.0,1.0
OSD-457:GSM4613940,13541,11247324.0,1.0
OSD-457:GSM4614055,14463,11597941.0,1.0
OSD-457:GSM4613916,14519,11547651.0,1.0
OSD-457:GSM4614058,14463,11471203.0,1.0
OSD-457:GSM4614057,14401,12115288.0,1.0
OSD-457:GSM4613912,14448,11988355.0,1.0
OSD-457:GSM4613910,14392,12377961.0,1.0
OSD-457:GSM4614061,14499,11550653.0,1.0
OSD-457:GSM4613911,14461,11986134.0,1.0
OSD-457:GSM4613915,14485,12012282.0,1.0
OSD-457:GSM4614064,14480,12086795.0,1.0
