contrast_a,contrast_b,study_a,study_b,species,setting,tissue,representation,response_cosine
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,raw,-0.0010037412237353205
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,model_mean,-0.22536868735935822
OSD-103|Left quadriceps femoris|14bf1f06,OSD-326|Quadriceps femoris|6a69abe9,OSD-103,OSD-326,mouse,actual_flight,skeletal muscle,model_std,-0.12798424877351677
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,raw,-0.05081340999721344
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.5680427513021726
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Gastrocnemius|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.03843180386139994
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.03106199244815841
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.27300817650187903
OSD-103|Left quadriceps femoris|14bf1f06,OSD-401|Quadriceps femoris|344e21b7,OSD-103,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.04315291050974069
OSD-103|Left quadriceps femoris|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-103,OSD-419,mouse,actual_flight,skeletal muscle,raw,0.25019144661816545
OSD-103|Left quadriceps femoris|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-103,OSD-419,mouse,actual_flight,skeletal muscle,model_mean,0.6765941464328202
OSD-103|Left quadriceps femoris|14bf1f06,OSD-419|Right gastrocnemius|2664dccf,OSD-103,OSD-419,mouse,actual_flight,skeletal muscle,model_std,0.3004740283100507
OSD-103|Left quadriceps femoris|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-103,OSD-576,mouse,actual_flight,skeletal muscle,raw,0.02982226959196118
OSD-103|Left quadriceps femoris|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-103,OSD-576,mouse,actual_flight,skeletal muscle,model_mean,0.5244038739416587
OSD-103|Left quadriceps femoris|14bf1f06,OSD-576|Right tibialis anterior|52cb5fea,OSD-103,OSD-576,mouse,actual_flight,skeletal muscle,model_std,0.12661317162294664
OSD-103|Left quadriceps femoris|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-103,OSD-665,mouse,actual_flight,skeletal muscle,raw,-0.12296695530909749
OSD-103|Left quadriceps femoris|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-103,OSD-665,mouse,actual_flight,skeletal muscle,model_mean,-0.4462546363456124
OSD-103|Left quadriceps femoris|14bf1f06,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-103,OSD-665,mouse,actual_flight,skeletal muscle,model_std,-0.09373628057059429
OSD-103|Left quadriceps femoris|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-103,OSD-666,mouse,actual_flight,skeletal muscle,raw,0.1903790335426963
OSD-103|Left quadriceps femoris|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-103,OSD-666,mouse,actual_flight,skeletal muscle,model_mean,0.8567206180849479
OSD-103|Left quadriceps femoris|14bf1f06,OSD-666|Right quadriceps femoris|52cb5fea,OSD-103,OSD-666,mouse,actual_flight,skeletal muscle,model_std,0.425493179750171
OSD-103|Left quadriceps femoris|14bf1f06,OSD-770|Right soleus|df447f03,OSD-103,OSD-770,mouse,actual_flight,skeletal muscle,raw,-0.37860939307120905
OSD-103|Left quadriceps femoris|14bf1f06,OSD-770|Right soleus|df447f03,OSD-103,OSD-770,mouse,actual_flight,skeletal muscle,model_mean,-0.9296457567937192
OSD-103|Left quadriceps femoris|14bf1f06,OSD-770|Right soleus|df447f03,OSD-103,OSD-770,mouse,actual_flight,skeletal muscle,model_std,-0.2106811152960897
OSD-103|Left quadriceps femoris|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-103,OSD-99,mouse,actual_flight,skeletal muscle,raw,0.42086262486102677
OSD-103|Left quadriceps femoris|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-103,OSD-99,mouse,actual_flight,skeletal muscle,model_mean,0.006070541841343796
OSD-103|Left quadriceps femoris|14bf1f06,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-103,OSD-99,mouse,actual_flight,skeletal muscle,model_std,0.1808713422832682
OSD-104|Soleus-both sides|8d0b8dc2,OSD-105|Left tibialis anterior|f829a3c1,OSD-104,OSD-105,mouse,actual_flight,skeletal muscle,raw,0.06801639793365609
OSD-104|Soleus-both sides|8d0b8dc2,OSD-105|Left tibialis anterior|f829a3c1,OSD-104,OSD-105,mouse,actual_flight,skeletal muscle,model_mean,0.06288582955146285
OSD-104|Soleus-both sides|8d0b8dc2,OSD-105|Left tibialis anterior|f829a3c1,OSD-104,OSD-105,mouse,actual_flight,skeletal muscle,model_std,0.16198597965952719
OSD-104|Soleus-both sides|8d0b8dc2,OSD-326|Quadriceps femoris|6a69abe9,OSD-104,OSD-326,mouse,actual_flight,skeletal muscle,raw,0.08504112366348636
OSD-104|Soleus-both sides|8d0b8dc2,OSD-326|Quadriceps femoris|6a69abe9,OSD-104,OSD-326,mouse,actual_flight,skeletal muscle,model_mean,0.027045582184371517
