comparison,pool,source,pathway,n_genes,source_set_fraction,status,zscore_shift,rank_shift,background_centered_shift,leave_one_sign_retention,robust
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Circadian clock,100,0.8928571428571429,ok,0.007400388456180117,-3.860127157140347e-06,0.00942034614764753,0.6,False
endothelial_source,microgravity_vs_onboard_1g,NCBI_counts,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
endothelial_source,onboard_1g_vs_ground,author_CPM,TNF-alpha Signaling via NF-kB,164,0.82,ok,0.17511179069873362,0.021868977204758333,0.09861187766824972,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,DNA Repair,135,0.9,ok,0.12302019268681513,0.008763133402854839,0.027361652883873933,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Myogenesis,128,0.64,ok,-0.058724081729584265,-0.0017051260217983422,-0.006663415083390856,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Unfolded Protein Response,100,0.8849557522123894,ok,0.10601929763469115,0.015557674841053637,0.046014309985057844,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Inflammatory Response,113,0.565,ok,0.007655189280665572,0.001306200584612116,0.015503932506423013,0.4,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Oxidative Phosphorylation,169,0.845,ok,0.22716046716102806,0.006234515152980458,0.022216652703368367,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.05267519513990958,-0.0013441964736243817,-0.0015632893823941396,0.6,False
endothelial_source,onboard_1g_vs_ground,author_CPM,p53 Pathway,173,0.865,ok,0.30860598458195815,0.034795482824336865,0.1578797918720779,0.8,False
endothelial_source,onboard_1g_vs_ground,author_CPM,Circadian clock,100,0.8928571428571429,ok,0.23533997560933775,0.006153496821072024,0.03193450268369602,1.0,True
endothelial_source,onboard_1g_vs_ground,author_CPM,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,TNF-alpha Signaling via NF-kB,164,0.82,ok,0.17069437580824107,0.022553960553229335,0.09315132663964923,0.8,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,DNA Repair,135,0.9,ok,0.14727316708586305,0.010272143169509085,0.029425910558021795,1.0,True
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Myogenesis,128,0.64,ok,-0.10188217935700833,-0.0018446180555553027,-0.009945373440134686,0.8,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Unfolded Protein Response,100,0.8849557522123894,ok,0.08059295150564696,0.014759006963366739,0.04085563642685641,0.8,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Inflammatory Response,113,0.565,ok,0.00040774514832949327,0.0016300547370451945,0.009336964274250015,0.4,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Oxidative Phosphorylation,169,0.845,ok,0.3335083516587511,0.010464711119710035,0.038683502742933196,0.8,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.1492982435617158,0.00697327826074412,0.023887394279244023,1.0,True
endothelial_source,onboard_1g_vs_ground,NCBI_counts,p53 Pathway,173,0.865,ok,0.32348724246998056,0.03538078012806711,0.1542455049724809,0.8,False
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Circadian clock,100,0.8928571428571429,ok,0.23613146780718197,0.0048358310626703815,0.027106414068788554,1.0,True
endothelial_source,onboard_1g_vs_ground,NCBI_counts,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
endothelial_source,microgravity_vs_ground,author_CPM,TNF-alpha Signaling via NF-kB,164,0.82,ok,-0.4254524751015936,-0.024342061540506554,-0.11162062076658626,1.0,True
