contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift,passes_primary_checks,passes_primary_and_source_checks
GSE298393|OS,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,0.4654685911125491,0.1074595612121305,-0.0220529894780376,0.0014366471412952,0.400696961255655,0.5081818144176594,1.0,0.65625,0.4654685911125491,False,False
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913044,0.915,ok,-0.3879228584237772,-0.1456881234225542,-0.1792647307983512,-0.0282077005727772,-0.6433948010799941,-0.2044682478774585,1.0,0.6557377049180327,-0.3879228584237772,True,True
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,0.5745051859690098,0.1024128425947945,0.0688362352189975,0.0090474557838087,0.4199522863624351,0.8242337129574338,1.0,0.781021897810219,0.5745051859690098,True,True
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.1061286063749507,-0.0046734597958764,-0.0382500671716734,-0.0083177157400995,0.0546637776201915,0.1634540054429525,1.0,0.5421052631578948,0.114874566574566,False,False
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,0.2777091232404925,0.0315028576582085,-0.0020737497175884,-0.0031342280806975,0.1310546471350369,0.5836919898348513,1.0,0.6372549019607843,0.2777091232404925,False,False
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.181783074991138,-0.0789005927909902,-0.1124772001667873,-0.0155723363773454,-0.3602251074632636,-0.0846333401509488,1.0,0.4971751412429379,-0.181783074991138,True,True
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.9242298316315304,0.158252171037974,0.124675563662177,0.0081623166091384,0.809841340207018,1.0859063957401554,1.0,0.8554913294797688,0.9242298316315304,True,True
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727272,0.8775510204081632,ok,0.1545034045085825,0.0080767686428258,-0.0254998387329712,-0.0090829340089201,-0.0206649130216491,0.3774286459398647,0.8333333333333334,0.5813953488372093,0.1545034045085825,False,False
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.0470708857349413,-0.0271014350009117,-0.0606780423767088,-0.0083551709204081,-0.178677248651296,0.1054652289094155,0.6666666666666666,0.5053763440860215,-0.0470708857349413,False,False
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.0416591795713086,-0.0064561179393916,-0.0400327253151886,-0.0071286027863751,-0.1492945061003368,0.2437855292079124,0.6666666666666666,0.5188679245283019,0.0416591795713086,False,False
