contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.47051009156062074,0.07562117203208807,0.11836367453761376,0.01908767177295745,0.29571839727991744,0.6597829640212917,1.0,0.7225433526011561,0.47051009156062074
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.2738212342740282,0.032747763914592554,0.07549026642011825,0.00971997199719965,0.15708156742225343,0.3928714814678764,1.0,0.6590909090909091,0.2738212342740282
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.2206797553960186,-0.07342785121505857,-0.030685348709532878,-0.00471497687403144,-0.40730989654882066,0.3051001076848251,0.8333333333333334,0.6881720430107527,-0.2206797553960186
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.08029678653484285,-0.007921278382998054,0.03482122412252764,0.0020925960520579157,0.003147034344459021,0.18555587708845941,1.0,0.5283018867924528,0.08029678653484285
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.28614114599518203,-0.06286463935329167,-0.02012213684776598,-0.0014125527136046867,-0.5504148795808723,-0.15520016484588603,1.0,0.6302083333333334,-0.28614114599518203
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.8441847560367994,0.5136842195862448,0.6311040331461424,0.08811674917491752,0.7751232105851016,1.0433935312738207,1.0,0.7445652173913043,0.8441847560367994
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.5909443832142691,-0.17392402216610803,-0.056504208606210415,-0.00949591674495942,-0.7145045359341892,-0.5156727116233072,1.0,0.6642335766423357,-0.5909443832142691
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Myogenesis,190,200,190,1.0,0.95,ok,-0.3895738001387544,-0.0837675606211028,0.03365225293879481,0.0049034798216666675,-0.5752005129544263,-0.27034782869702545,1.0,0.5842105263157895,-0.3916350371765256
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.020403631924041543,0.09912421663894389,0.2165440301988415,0.029709279751504503,-0.03602524856066425,0.11000586466336884,0.4,0.5098039215686274,0.020403631924041543
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Inflammatory Response,177,200,177,1.0,0.885,ok,0.22591051226341025,0.2040895888960712,0.3215094024559688,0.04204374957269735,0.11750890213900811,0.3694188405169467,1.0,0.5649717514124294,0.22591051226341025
