contrast,gene,log1p_expression_shift
GSE234465|OS,TIMM50,0.24797614415486624
GSE234465|OS,TIMM8B,-0.05499060948689749
GSE234465|OS,TIMM9,0.13200720151265477
GSE234465|OS,TOMM22,0.16487757364908884
GSE234465|OS,TOMM70,-0.37056859334309866
GSE234465|OS,UQCR10,0.13855870564778705
GSE234465|OS,UQCR11,-0.03568728764851947
GSE234465|OS,UQCRC1,0.2716968854268389
GSE234465|OS,UQCRC2,0.07082414627075195
GSE234465|OS,UQCRQ,-0.11827437082926373
GSE234465|OS,VDAC1,0.10667610168457031
GSE234465|OS,VDAC2,0.10886224110921194
GSE234465|OS,VDAC3,0.0790704091389971
GSE234465|YA,ABCB7,0.17557231585184718
GSE234465|YA,ACAA2,-0.20056788126627545
GSE234465|YA,ACADM,-0.04679052035013864
GSE234465|YA,ACADSB,-0.21203462282816554
GSE234465|YA,ACADVL,-0.12273740768432617
GSE234465|YA,ACAT1,0.04988129933675145
GSE234465|YA,ACO2,0.17899497350057025
GSE234465|YA,AFG3L2,0.07069985071818063
GSE234465|YA,AIFM1,-0.027729113896687974
GSE234465|YA,ALAS1,0.10281546910603812
GSE234465|YA,ALDH6A1,-0.05289856592814113
GSE234465|YA,ATP1B1,-0.5590019226074219
GSE234465|YA,ATP5PB,0.03002023696899414
GSE234465|YA,ATP6AP1,0.17260408401489258
GSE234465|YA,ATP6V0B,0.251148859659831
GSE234465|YA,ATP6V0C,0.13984950383504202
GSE234465|YA,ATP6V0E1,0.21785783767700195
GSE234465|YA,ATP6V1C1,0.015827655792236328
GSE234465|YA,ATP6V1D,-0.15065463383992483
GSE234465|YA,ATP6V1E1,0.2492532730102539
GSE234465|YA,ATP6V1F,0.6517397562662763
GSE234465|YA,ATP6V1G1,0.03074296315511038
GSE234465|YA,ATP6V1H,0.04205687840779637
GSE234465|YA,BAX,0.19344774881998683
GSE234465|YA,BCKDHA,0.2025125821431475
GSE234465|YA,BDH2,-0.1636474132537844
GSE234465|YA,CASP7,-0.14218974113464355
GSE234465|YA,COX10,-0.02086806297302246
GSE234465|YA,COX11,-0.2273267110188799
GSE234465|YA,COX15,0.21792594591776515
GSE234465|YA,COX17,0.01301201184590628
GSE234465|YA,COX4I1,0.12566153208414743
GSE234465|YA,COX5A,-0.017712434132893584
GSE234465|YA,COX6A1,0.24645376205444336
GSE234465|YA,COX6B1,-0.005183855692545869
GSE234465|YA,COX6C,-0.22713796297709177
GSE234465|YA,COX7A2,0.14525922139485647
GSE234465|YA,COX7A2L,0.18167877197265625
GSE234465|YA,COX7C,0.050608952840168975
GSE234465|YA,COX8A,-0.012645721435546875
GSE234465|YA,CPT1A,-0.06950781742731738
GSE234465|YA,CYB5A,-0.4136291344960532
GSE234465|YA,CYB5R3,0.11948537826538086
GSE234465|YA,CYC1,0.2417305310567217
GSE234465|YA,DECR1,0.035852114359538056
GSE234465|YA,DLAT,-0.07039364178975394
GSE234465|YA,DLD,0.09375747044881244
GSE234465|YA,DLST,0.010616143544515566
GSE234465|YA,ECH1,0.13956594467163086
GSE234465|YA,ECHS1,-0.04881572723388672
GSE234465|YA,ECI1,0.07424529393513968
GSE234465|YA,ETFA,-0.18022044499715228
GSE234465|YA,ETFB,0.02696053187052394
GSE234465|YA,ETFDH,-0.13534951210021973
GSE234465|YA,FDX1,-0.08777904510498047
GSE234465|YA,FH,-0.12115716934204102
GSE234465|YA,FXN,-0.13043711582819628
GSE234465|YA,GOT2,0.14947112401326468
GSE234465|YA,GPI,0.4614717165629072
GSE234465|YA,GPX4,0.4372536341349278
GSE234465|YA,GRPEL1,-0.019797563552856445
GSE234465|YA,HADHA,0.18469540278116892
GSE234465|YA,HADHB,-0.053112188975015684
GSE234465|YA,HCCS,-0.2364718119303384
GSE234465|YA,HSD17B10,-0.0020039876302089255
GSE234465|YA,HSPA9,0.13791402180989554
GSE234465|YA,HTRA2,0.22409470876057958
GSE234465|YA,IDH1,-0.22299639383951853
GSE234465|YA,IDH2,0.21753629048665335
GSE234465|YA,IDH3A,-0.16650660832722997
GSE234465|YA,IDH3B,0.271756649017334
GSE234465|YA,IDH3G,0.43734216690063477
GSE234465|YA,IMMT,0.12549861272176077
GSE234465|YA,ISCU,-0.13042640686035156
GSE234465|YA,LDHA,0.27709293365478516
GSE234465|YA,LDHB,0.22986793518066406
GSE234465|YA,LRPPRC,-0.12649512290954634
GSE234465|YA,MAOB,-0.013335272669792175
GSE234465|YA,MDH1,0.09865840276082327
GSE234465|YA,MDH2,0.06643199920654297
GSE234465|YA,MFN2,0.0580744743347168
