contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.2479785315900782,-0.08773776352418938,-0.0356233731800919,-0.0058017301004471555,-0.3569453434462805,-0.08040063694092606,1.0,0.6021505376344086,-0.2479785315900782
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.20044266486678092,0.029573264496647322,0.0816876548407448,0.002922054044755873,0.09634861830103578,0.29970112306156493,1.0,0.5566037735849056,0.20044266486678092
GSE234465|YA,GSE234465,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.3510565739240056,-0.11069012564095981,-0.05857573529686233,-0.006217748269508938,-0.4679997896073693,-0.28142465840781067,1.0,0.65625,-0.3510565739240056
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.07526904416685053,0.0001043978120214284,0.0011555614202118925,0.0006709707707964752,-0.17846258785451402,0.03602603260188737,0.9166666666666666,0.532608695652174,-0.07526904416685053
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.045161518065334534,-0.0031754215431467614,-0.0021242579349562973,-0.0008369813639581558,-0.28981240523276575,0.048104828467172185,0.5833333333333334,0.5474452554744526,-0.045161518065334534
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.06145391634705809,0.0064010177935038826,0.007452181401694347,0.0012602310259660632,0.012719123197669468,0.1327775300943161,1.0,0.5105263157894737,0.05726841909718987
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.17042631687026083,-0.018407213112058507,-0.017356049503868043,-0.002975709461716547,-0.3767147337044082,-0.05735398599148177,1.0,0.6176470588235294,-0.17042631687026083
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.08999840437847734,-0.013199818680999176,-0.012148655072808712,-0.002484658710245058,-0.19041219736030962,0.041091804617014296,0.9166666666666666,0.5310734463276836,-0.08999840437847734
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.2568957106158457,0.020292927074983425,0.02134409068317389,0.0008858878603824616,0.11382739943600251,0.5272565647331303,1.0,0.7109826589595376,0.2568957106158457
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.05552632783156959,0.0011348270274931238,0.002185990635683588,-0.000564997152534441,-0.09208159450932539,0.21126689938393417,0.8333333333333334,0.5,0.05552632783156959
