study,sample,species,tissue,condition_name,unit,survey_source,platform_id,instrument_model,library_strategy,library_source,library_selection,id.assay name,library_type,study.parameter value.sample preservation method,study.parameter value.carcass preservation method
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep2_G4,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep2_G4,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep4_G5,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep4_G5,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep3_G10,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep3_G10,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep9_G3,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep9_G3,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep1_G6,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep1_G6,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_GC_LAR_Rep7_G9,mouse,liver,ground,Mmus_C57-6T_LVR_GC_LAR_Rep7_G9,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-245,Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5,mouse,liver,flight,Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5,general_survey_2026-09-12,,,,,,OSD-245_transcription-profiling_rna-sequencing-(rna-seq)_ Illumina NovaSeq 6000,unknown,Liquid Nitrogen,{Not Available}
OSD-326,SRR11148753,mouse,skeletal muscle,ground,SRR11148753,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148755,mouse,skeletal muscle,ground,SRR11148755,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
