training_study,gene,train_weight_times_effect,test_weight_times_effect,train_effect_log1pTPM,test_effect_log1pTPM
GSE234465,ACAD9,0.002015707257323033,-0.0020772985161644658,-0.1943668524424238,0.20030585924784372
GSE234465,ACADL,0.001450247394153712,-0.0006151192528733227,0.12454758087793982,-0.05282658338546753
GSE234465,ACADM,0.0003054284774157514,-0.001088919374278428,-0.08353841304779051,0.297832727432251
GSE234465,ACADS,0.0013670751246348996,-0.0026286349282550205,-0.15619957447052002,0.3003431558609009
GSE234465,ACADSB,0.0002570155838845036,-0.0003115773714570883,-0.11334570248921683,0.1374078392982483
GSE234465,ACADVL,0.0017865727089474738,-0.0017317045439177205,-0.15239405632019043,0.14771382013956735
GSE234465,ACAN,-4.98961862435651e-06,-7.027502667862964e-05,-0.010971590876579285,-0.1545266080647707
GSE234465,ACAP1,0.000358642482086643,1.7355839138374343e-06,-0.39302347103754687,-0.0019019643465676417
GSE234465,ACAP2,0.0003428325079373149,-0.0006462901620513758,-0.09575690825780246,0.18051598469416308
GSE234465,ACAP3,0.0023252101536943423,0.0009716817394278266,0.16147379080454494,0.06747825940450047
GSE234465,ACAT1,0.00030286255121376695,-0.0013803478430123404,-0.0730368296305337,0.33287783463796
GSE234465,ACBD3,0.0027065454100576236,-0.0026871723433246845,-0.23360466957092285,0.2319325606028242
GSE234465,ACBD4,0.0024071214215025537,-0.0008815497075255092,-0.47737106680870056,0.17482554912567128
GSE234465,ACBD5,0.0003261552318378544,-0.0013538332137556905,-0.03950834274291992,0.16399463017781546
GSE234465,ACBD6,0.001024419507467725,0.0019180812643766695,0.056093255678812515,0.1050267219543457
GSE234465,ACBD7,0.000648014055867633,-0.0006585169715582909,-0.07804138585925102,0.07930626906454563
GSE234465,ACCS,0.0013243867790210453,0.0007702314972058817,-0.15146573384602868,-0.08808882782856625
GSE234465,ACCSL,0.0,0.0,0.0,0.0026506551851828894
GSE234465,ACD,0.0004836783764110216,0.0003789188238197091,0.06229571501413966,0.04880313078562448
GSE234465,ACE,4.9570461022181275e-05,-8.734777967004713e-05,-0.03536271924773854,0.06231241238613924
GSE234465,ACE2,0.00013356797645814114,-0.00018276801741827294,0.002551989008982977,-0.00349201944967111
GSE234465,ACER1,0.00022263144546381264,1.6593647356188379e-06,0.007982170830170313,5.949443827072896e-05
GSE234465,ACER2,0.0009283517794696713,-0.0008036227036149795,-0.17971893151601148,0.15557272235552472
GSE234465,ACER3,0.0010134570685159175,-0.0005127663224990261,-0.28795260190963745,0.14569181203842163
GSE234465,ACHE,0.0038286761258089635,-0.00124262353676742,-0.6121827761332197,0.19868818918863965
GSE234465,ACIN1,0.003201356364653278,0.0011443695552362844,0.1721218824386601,0.06152737140655517
GSE234465,ACKR1,0.0001007228273045823,-0.00025380607413121877,0.01424727961421013,-0.03590095912416776
GSE234465,ACKR2,0.0004982528605774989,-0.0006485498765100588,-0.11980146449059251,0.1559393455584844
GSE234465,ACKR3,0.0014417418790256579,0.0010189968334906126,-0.16848905508716902,-0.1190849874789516
GSE234465,ACKR4,0.0003844841776125577,-0.0037274623976321117,0.010650134645402431,-0.10324996119985975
GSE234465,ACLY,8.750705345534603e-06,0.0006034227360130039,0.0045128663380937795,0.31119390328725194
GSE234465,ACMSD,8.157169626374114e-06,3.863808012740061e-06,-0.021777009901901085,-0.010315120220184326
GSE234465,ACO1,0.0019291811739439789,-0.002389225651124394,-0.2418848673502607,0.29956622918446874
GSE234465,ACO2,0.0015017324191126695,0.001256957997792333,0.19431551297505756,0.162643114725749
GSE234465,ACOD1,0.000241021247572519,-0.0,-0.008269127458333969,0.0
GSE234465,ACOT11,0.0020639843256952503,-0.00030741099625767666,-0.38109636306762695,0.05676070849100734
GSE234465,ACOT12,0.00024411734695629642,-0.0,-0.0028794100508093834,0.0
GSE234465,ACOT13,0.00010560583007625033,-0.00017351122843104784,-0.06577495733896876,0.10806878407796194
GSE234465,ACOT4,0.0008999946755558753,-0.00043772359695152754,-0.08231426278750098,0.04003456483284634
GSE234465,ACOT6,0.0,0.0,0.0,0.015315717086195946
GSE234465,ACOT7,0.0009659154608901681,-0.0004240999326849535,-0.3716476360956831,0.16317756970723485
GSE234465,ACOT8,0.00024004239926490818,-0.000981900602391114,-0.046847184499104966,0.19162980715433742
GSE234465,ACOX1,0.0025328657649553504,-0.0013700147999850321,-0.20558075110117624,0.11119763056437204
GSE234465,ACOX2,0.0029453358722892897,-0.003188082052807776,-0.29054798682530725,0.31449412306149793
GSE234465,ACOX3,0.00032188265329431145,-0.0005184267319950316,-0.11230707168579102,0.18088265260060643
GSE234465,ACOXL,0.00010721628360525065,-0.00044314657006067326,0.022928323596715934,-0.09476739556218189
GSE234465,ACP1,0.002859796369793465,-0.004711558245282445,-0.29706327120463083,0.48941628138224225
