model,target_study,training_pool,labeled_chips,training_ids,n_test,auroc,balanced_accuracy
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013399|GSE298393:GSM9013410|GSE298393:GSM9013412,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013399|GSE298393:GSM9013411|GSE298393:GSM9013412,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013400|GSE298393:GSM9013410|GSE298393:GSM9013411,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013400|GSE298393:GSM9013410|GSE298393:GSM9013412,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013398|GSE298393:GSM9013400|GSE298393:GSM9013411|GSE298393:GSM9013412,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013399|GSE298393:GSM9013400|GSE298393:GSM9013410|GSE298393:GSM9013411,6,1.0,0.6666666666666666
expression,GSE298393,OS,4,GSE298393:GSM9013399|GSE298393:GSM9013400|GSE298393:GSM9013410|GSE298393:GSM9013412,6,1.0,0.8333333333333333
expression,GSE298393,OS,4,GSE298393:GSM9013399|GSE298393:GSM9013400|GSE298393:GSM9013411|GSE298393:GSM9013412,6,1.0,0.6666666666666666
expression,GSE298393,OS,6,GSE298393:GSM9013398|GSE298393:GSM9013399|GSE298393:GSM9013400|GSE298393:GSM9013410|GSE298393:GSM9013411|GSE298393:GSM9013412,6,1.0,0.6666666666666666
bridge,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469197,6,1.0,0.5
bridge,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469198,6,1.0,1.0
bridge,GSE234465,YA,2,GSE234465:GSM7469191|GSE234465:GSM7469199,6,1.0,1.0
bridge,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469197,6,1.0,0.8333333333333333
bridge,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469198,6,1.0,0.8333333333333333
bridge,GSE234465,YA,2,GSE234465:GSM7469192|GSE234465:GSM7469199,6,1.0,0.8333333333333333
bridge,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469197,6,0.22222222222222224,0.16666666666666666
bridge,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469198,6,0.4444444444444444,0.3333333333333333
bridge,GSE234465,YA,2,GSE234465:GSM7469193|GSE234465:GSM7469199,6,0.0,0.5
bridge,GSE234465,YA,4,GSE234465:GSM7469191|GSE234465:GSM7469192|GSE234465:GSM7469197|GSE234465:GSM7469198,6,1.0,0.8333333333333333
