id.accession,id.assay name,id.sample name,study.characteristics.organism,study.characteristics.strain,study.characteristics.animal source,study.characteristics.age at launch,study.characteristics.sex,study.characteristics.material type,study.factor value.spaceflight,study.factor value.genotype,investigation.study assays.study assay measurement type,investigation.study assays.study assay technology type,assay.protocol ref,study.parameter value.habitat,study.parameter value.duration,study.parameter value.light cycle,study.parameter value.diet,study.parameter value.feeding schedule,study.parameter value.enrichment material,study.parameter value.euthanasia method,study.parameter value.age at euthanasia,study.parameter value.carcass preservation method,study.parameter value.sample weight,study.parameter value.sample preservation method,study.parameter value.sample storage temperature,study.comment.rfid,study.comment.alsda subject id,study.comment.euthanasia date,study.comment.bsp dissection date,study.comment.source description,investigation.study.comment.Project Identifier,id.assay name_rna,investigation.study assays.study assay measurement type_rna,investigation.study assays.study assay technology type_rna,study.characteristics.organism_rna,library_type,modalities_all,modalities_other,has_other_modalities,has_rna_sequencing_rna_seq,has_single_cell_rna_sequencing,counts_file,counts_path
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep1_F1,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep2_F2,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep3_F3,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep4_F4,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep5_F5,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep6_F6,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep7_F7,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep8_F9,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_FLT_Rep9_F10,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep10_G10,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep1_G1,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep2_G2,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep3_G3,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep4_G4,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep5_G5,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep6_G6,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep7_G7,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep8_G8,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-241,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_BAL-TAL_FSKN_GC_Rep9_G9,Mus musculus,BALB/c,Taconic Biosciences,30 {week},Female,femoral lateral skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat (~30 days) and vivarium cage (~30 days),,12 {hour},Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Ketamine/xylazine,,,,RNALater,-80 {degree Celsius},,,,,,,OSD-241_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-241_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-241_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_BSL_C1_Rep1_B1,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Basal Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,33.8 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_BSL_C1_Rep2_B2,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Basal Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,34.9 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_BSL_C1_Rep3_B3,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Basal Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,20.2 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_BSL_C1_Rep4_B4,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Basal Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,24.1 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C1_Rep1_C1-1,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #1,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,27.4 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C1_Rep2_C1-2,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #1,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,23.6 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C1_Rep3_C1-3,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #1,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,26.3 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C1_Rep4_C1-4,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #1,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,19.3 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C1_Rep5_C1-5,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #1,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,23.2 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C2_Rep1_C2-1,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #2,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,32.4 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C2_Rep2_C2-2,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #2,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,21.5 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C2_Rep3_C2-3,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #2,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,29.6 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_CC_C2_Rep4_C2-4,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Cohort Control #2,,transcription profiling,RNA Sequencing (RNA-Seq),,Vivarium Cage,,,Standard Chow,ad libitum,,,,,19.6 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
OSD-242,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,Mmus_C57-6J_LVR_FLT_C1_Rep1_F1,Mus musculus,C57BL/6J,,10 {week},Male,Liver,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,,,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,,,,,22.1 {milligram},Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-242_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq 6000,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-242_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-242_rna_seq_Unnormalized_Counts.csv
