recipient,donor,seed,effect_percent,positive,beats_all_three_random_controls,random_control_mean_effect_percent,held_out_donors
brain,lung,17,-3.2504944534045928,False,False,-3.209912427340324,74
brain,lung,42,-5.919442995077535,False,False,-6.27854957472197,74
brain,lung,101,-2.7142609088149,False,True,-3.1934296457160927,74
brain,skeletal_muscle,17,-1.995181545577619,False,True,-3.209912427340324,74
brain,skeletal_muscle,42,-5.860240101659223,False,False,-6.27854957472197,74
brain,skeletal_muscle,101,-3.0070213922762834,False,False,-3.1934296457160927,74
brain,skin,17,-2.8100439499356433,False,True,-3.209912427340324,74
brain,skin,42,-5.635120737786667,False,False,-6.27854957472197,74
brain,skin,101,-3.4976409650068288,False,False,-3.1934296457160927,74
colon,adipose,17,-1.114877780559337,False,True,-1.2349212164915107,132
colon,adipose,42,-0.5826703096328284,False,True,-1.069409751844008,132
colon,adipose,101,-0.971151394882719,False,True,-1.7839549509613857,132
colon,brain,17,-1.7616392826550367,False,False,-1.2349212164915107,132
colon,brain,42,-1.5952524344571435,False,False,-1.069409751844008,132
colon,brain,101,-2.547019210093774,False,False,-1.7839549509613857,132
colon,heart,17,-0.5584945350276286,False,True,-1.2349212164915107,132
colon,heart,42,-0.2542259478861526,False,True,-1.069409751844008,132
colon,heart,101,-0.5407163716793166,False,True,-1.7839549509613857,132
colon,liver,17,-1.1158676189375534,False,True,-1.2349212164915107,132
colon,liver,42,-1.1876361159174262,False,False,-1.069409751844008,132
colon,liver,101,-1.7220691752767696,False,False,-1.7839549509613857,132
colon,lung,17,-0.8838161600386744,False,True,-1.2349212164915107,132
colon,lung,42,-0.7454859603603058,False,True,-1.069409751844008,132
colon,lung,101,-1.3153717244211252,False,True,-1.7839549509613857,132
colon,skeletal_muscle,17,-0.8536342964019383,False,True,-1.2349212164915107,132
colon,skeletal_muscle,42,-0.39265973014859135,False,True,-1.069409751844008,132
colon,skeletal_muscle,101,-1.0148181322010603,False,True,-1.7839549509613857,132
colon,skin,17,-1.1748322571482275,False,False,-1.2349212164915107,132
colon,skin,42,-1.2799303284302064,False,False,-1.069409751844008,132
colon,skin,101,-2.159473271007103,False,False,-1.7839549509613857,132
heart,adipose,17,-2.1423669739764812,False,False,-2.2948740967473804,108
heart,adipose,42,-2.266564392908959,False,True,-3.4116810195784333,108
heart,adipose,101,-2.732808977341188,False,True,-4.360147555482075,108
heart,brain,17,-3.4007593086536696,False,False,-2.2948740967473804,108
heart,brain,42,-4.695098793158868,False,False,-3.4116810195784333,108
heart,brain,101,-5.268587454812865,False,False,-4.360147555482075,108
heart,colon,17,-1.778064239208853,False,True,-2.2948740967473804,108
heart,colon,42,-1.7088280059527436,False,True,-3.4116810195784333,108
heart,colon,101,-2.1885372774746905,False,True,-4.360147555482075,108
heart,liver,17,-3.0725290381923,False,False,-2.2948740967473804,108
heart,liver,42,-4.733883501302805,False,False,-3.4116810195784333,108
heart,liver,101,-5.221536724793513,False,False,-4.360147555482075,108
heart,lung,17,-1.2838864937904204,False,True,-2.2948740967473804,108
heart,lung,42,-1.6566400710003386,False,True,-3.4116810195784333,108
heart,lung,101,-3.0704577193464133,False,True,-4.360147555482075,108
heart,skeletal_muscle,17,-1.4310659183123748,False,True,-2.2948740967473804,108
heart,skeletal_muscle,42,-1.1468503059633017,False,True,-3.4116810195784333,108
heart,skeletal_muscle,101,-1.9259763914816237,False,True,-4.360147555482075,108
heart,skin,17,-2.4241305035115173,False,False,-2.2948740967473804,108
heart,skin,42,-2.5316771916370766,False,True,-3.4116810195784333,108
heart,skin,101,-4.054144940684712,False,False,-4.360147555482075,108
liver,adipose,17,-2.1875082704371827,False,False,-2.4891533785939886,48
liver,adipose,42,-5.010334853940993,False,False,-4.675242107951683,48
liver,adipose,101,-5.065504984621761,False,True,-6.1912022241756,48
liver,brain,17,-2.6424581027581144,False,False,-2.4891533785939886,48
liver,brain,42,-4.298350336583381,False,False,-4.675242107951683,48
liver,brain,101,-6.661764583127134,False,False,-6.1912022241756,48
liver,colon,17,-3.5824747352771196,False,False,-2.4891533785939886,48
liver,colon,42,-5.94313417942363,False,False,-4.675242107951683,48
liver,colon,101,-5.238522527185963,False,True,-6.1912022241756,48
liver,heart,17,-2.9790819017484664,False,False,-2.4891533785939886,48
liver,heart,42,-6.183893291575955,False,False,-4.675242107951683,48
liver,heart,101,-5.937909092997675,False,True,-6.1912022241756,48
liver,lung,17,-2.290689643240748,False,False,-2.4891533785939886,48
liver,lung,42,-3.2096152206221134,False,False,-4.675242107951683,48
liver,lung,101,-5.934657773740573,False,True,-6.1912022241756,48
liver,skeletal_muscle,17,-3.494499702690783,False,False,-2.4891533785939886,48
liver,skeletal_muscle,42,-5.154983163002487,False,False,-4.675242107951683,48
liver,skeletal_muscle,101,-6.809609088850887,False,False,-6.1912022241756,48
liver,skin,17,-2.5250083803451413,False,False,-2.4891533785939886,48
liver,skin,42,-2.5781591803730586,False,True,-4.675242107951683,48
liver,skin,101,-5.788556337684132,False,True,-6.1912022241756,48
lung,adipose,17,-2.243581853555276,False,True,-3.179631452588176,118
lung,adipose,42,-2.8191407093125114,False,True,-3.4543951895511835,118
lung,adipose,101,-2.9897101615143775,False,True,-4.2625200346010095,118
lung,brain,17,-3.6796495617555585,False,False,-3.179631452588176,118
lung,brain,42,-3.9495220470367967,False,False,-3.4543951895511835,118
lung,brain,101,-4.2354478892854015,False,False,-4.2625200346010095,118
lung,colon,17,-2.5561253658192986,False,True,-3.179631452588176,118
lung,colon,42,-3.0764294929803278,False,True,-3.4543951895511835,118
lung,colon,101,-3.4561895450840807,False,True,-4.2625200346010095,118
lung,heart,17,-1.3296797596013152,False,True,-3.179631452588176,118
lung,heart,42,-2.040255863374963,False,True,-3.4543951895511835,118
lung,heart,101,-2.2071152380074146,False,True,-4.2625200346010095,118
lung,liver,17,-2.4755063871497103,False,True,-3.179631452588176,118
lung,liver,42,-3.2864809516789353,False,False,-3.4543951895511835,118
lung,liver,101,-3.6489032046377288,False,True,-4.2625200346010095,118
lung,skeletal_muscle,17,-2.3112938315262785,False,True,-3.179631452588176,118
lung,skeletal_muscle,42,-2.9122416230262553,False,True,-3.4543951895511835,118
lung,skeletal_muscle,101,-2.569598054881763,False,True,-4.2625200346010095,118
lung,skin,17,-2.130017313360777,False,True,-3.179631452588176,118
lung,skin,42,-3.0126499816226446,False,True,-3.4543951895511835,118
lung,skin,101,-3.270312074761735,False,True,-4.2625200346010095,118
skeletal_muscle,adipose,17,-5.901360528144214,False,False,-5.456243751795644,159
skeletal_muscle,adipose,42,-5.06482104819211,False,True,-5.786198388536808,159
skeletal_muscle,adipose,101,-4.255963335605592,False,False,-5.362979715804617,159
skeletal_muscle,brain,17,-6.251339350045979,False,False,-5.456243751795644,159
skeletal_muscle,brain,42,-6.917883306852899,False,False,-5.786198388536808,159
