id,study,pool,label,route,head,prior_mask_score,matched_mask_score,score_change
GSE298393:GSM9013395,GSE298393,YA,0,original,flight_YA,-5.342981959042618,-0.9526776699556194,4.390304289086998
GSE298393:GSM9013396,GSE298393,YA,0,original,flight_YA,-6.305389716571881,-2.1030110438607608,4.20237867271112
GSE298393:GSM9013397,GSE298393,YA,0,original,flight_YA,-6.924122462935202,-2.5464331069276795,4.377689356007522
GSE298393:GSM9013398,GSE298393,OS,0,original,flight_YA,-8.00115624882028,-3.4217393069750415,4.579416941845238
GSE298393:GSM9013399,GSE298393,OS,0,original,flight_YA,-7.9395265200616905,-3.439049387570094,4.500477132491596
GSE298393:GSM9013400,GSE298393,OS,0,original,flight_YA,-6.589320700087228,-2.0471449352437503,4.542175764843478
GSE298393:GSM9013404,GSE298393,YA,1,original,flight_YA,6.2350990469608405,10.300787792381698,4.065688745420857
GSE298393:GSM9013405,GSE298393,YA,1,original,flight_YA,4.844558759942856,9.178734474966632,4.334175715023775
GSE298393:GSM9013406,GSE298393,YA,1,original,flight_YA,7.508545885996455,11.412082287298972,3.9035364013025173
GSE298393:GSM9013410,GSE298393,OS,1,original,flight_YA,5.627726680844944,9.913277004821794,4.2855503239768495
GSE298393:GSM9013411,GSE298393,OS,1,original,flight_YA,4.17448563083849,8.463173634530676,4.288688003692187
GSE298393:GSM9013412,GSE298393,OS,1,original,flight_YA,5.029497020792178,9.19580825056778,4.1663112297756015
GSE234465:GSM7469191,GSE234465,YA,0,original,flight_OS,26.83061986198163,31.54197460946034,4.711354747478708
GSE234465:GSM7469192,GSE234465,YA,0,original,flight_OS,28.73548571683523,33.45633694460594,4.720851227770709
GSE234465:GSM7469193,GSE234465,YA,0,original,flight_OS,25.90092000018649,30.736125748790982,4.835205748604494
GSE234465:GSM7469194,GSE234465,OS,0,original,flight_OS,32.96716819702874,37.69299137797225,4.725823180943507
GSE234465:GSM7469195,GSE234465,OS,0,original,flight_OS,32.72368758827224,37.475641008155435,4.751953419883193
GSE234465:GSM7469196,GSE234465,OS,0,original,flight_OS,33.55588635041613,38.19815757499464,4.642271224578508
GSE234465:GSM7469197,GSE234465,YA,1,original,flight_OS,22.683985162017734,27.558925217572323,4.874940055554589
GSE234465:GSM7469198,GSE234465,YA,1,original,flight_OS,26.513229520767027,31.314720398994268,4.801490878227241
GSE234465:GSM7469199,GSE234465,YA,1,original,flight_OS,15.494048823896492,20.266180005003207,4.772131181106715
GSE234465:GSM7469200,GSE234465,OS,1,original,flight_OS,25.178455158673614,29.833540200462267,4.655085041788652
GSE234465:GSM7469201,GSE234465,OS,1,original,flight_OS,20.911757730067166,25.652415338444598,4.7406576083774326
GSE234465:GSM7469202,GSE234465,OS,1,original,flight_OS,19.257610642252075,23.914021536214477,4.656410893962402
GSE298393:GSM9013395,GSE298393,YA,0,original,flight_OS,-0.8235112164181828,3.246112344532321,4.069623560950504
GSE298393:GSM9013396,GSE298393,YA,0,original,flight_OS,-0.8807439243068984,3.064639466343806,3.9453833906507043
GSE298393:GSM9013397,GSE298393,YA,0,original,flight_OS,-4.074472762270943,0.0011522723962116288,4.075625034667155
GSE298393:GSM9013398,GSE298393,OS,0,original,flight_OS,-7.32653107602664,-3.089852692946806,4.236678383079834
GSE298393:GSM9013399,GSE298393,OS,0,original,flight_OS,-7.631823393487593,-3.441743851776664,4.190079541710929
