study,group,route,program,mean_log1p_shift,rank_shift
GSE298393,OS,original,inflammatory_signaling,0.11577260494232178,-0.006085995097348973
GSE298393,OS,original,proteostasis,0.17698431015014648,-0.002573434924730278
GSE298393,OS,original,muscle_remodeling,0.14320039749145508,-0.0001349351347528227
GSE298393,YA,harmonized,mitochondrial_expression,0.15782737731933594,0.008057086793731072
GSE298393,YA,harmonized,dna_repair,0.10110044479370117,0.008771212657250227
GSE298393,YA,harmonized,oxidative_stress,0.007676362991333008,-0.009161451441141999
GSE298393,YA,harmonized,inflammatory_signaling,-0.14624643325805664,-0.028248006337110665
GSE298393,YA,harmonized,proteostasis,0.03076004981994629,-0.002959958301094856
GSE298393,YA,harmonized,muscle_remodeling,-0.0008797645568847656,-0.00734432662013218
GSE298393,YA,original,mitochondrial_expression,0.15782737731933594,0.008057086793731072
GSE298393,YA,original,dna_repair,0.10110044479370117,0.008771212657250227
GSE298393,YA,original,oxidative_stress,0.007676362991333008,-0.009161451441141999
GSE298393,YA,original,inflammatory_signaling,-0.14624643325805664,-0.028248006337110665
GSE298393,YA,original,proteostasis,0.03076004981994629,-0.002959958301094856
GSE298393,YA,original,muscle_remodeling,-0.0008797645568847656,-0.00734432662013218
