study,group,route,head,n_treated,n_control,treated_minus_control,control_mean,treated_mean,treated_positive_fraction,control_positive_fraction
GSE200335,AT7,harmonized,probe_ncbi,1,1,1.9420567169340757,7.819415385760749,9.761472102694825,1.0,1.0
GSE200335,AT7,harmonized,probe_original,1,1,2.6372303520701053,4.3220412234703645,6.95927157554047,1.0,1.0
GSE200335,AT7,harmonized,flight_YA,1,1,-3.860535716206414,0.6811796688127743,-3.1793560473936395,0.0,1.0
GSE200335,AT7,harmonized,flight_OS,1,1,-1.2497346934073903,6.959034762213832,5.709300068806442,1.0,1.0
GSE200335,AT7,wider_gene_mask,probe_ncbi,1,1,1.9443289829983428,8.774355558439083,10.718684541437426,1.0,1.0
GSE200335,AT7,wider_gene_mask,probe_original,1,1,2.657127542779449,5.674489341303797,8.331616884083246,1.0,1.0
GSE200335,AT7,wider_gene_mask,flight_YA,1,1,-3.8911437634928916,-2.7787726456135715,-6.669916409106463,0.0,0.0
GSE200335,AT7,wider_gene_mask,flight_OS,1,1,-1.2564071311028329,3.2746942576161473,2.0182871265133144,1.0,1.0
GSE200335,AT8,harmonized,probe_ncbi,1,1,1.7813862379439342,6.40905014642783,8.190436384371765,1.0,1.0
GSE200335,AT8,harmonized,probe_original,1,1,2.2378855573881538,2.5861947997290144,4.824080357117168,1.0,1.0
GSE200335,AT8,harmonized,flight_YA,1,1,-3.137287626890611,17.171664046105207,14.034376419214595,1.0,1.0
GSE200335,AT8,harmonized,flight_OS,1,1,-2.960258985600831,23.71299243531348,20.75273344971265,1.0,1.0
GSE200335,AT8,wider_gene_mask,probe_ncbi,1,1,1.7774855304406856,7.30140221424756,9.078887744688245,1.0,1.0
GSE200335,AT8,wider_gene_mask,probe_original,1,1,2.241352215368238,3.9220316934183757,6.163383908786614,1.0,1.0
GSE200335,AT8,wider_gene_mask,flight_YA,1,1,-3.166675247643525,13.822485848586666,10.655810600943141,1.0,1.0
GSE200335,AT8,wider_gene_mask,flight_OS,1,1,-2.9790921379321844,20.33409171105677,17.354999573124587,1.0,1.0
GSE234465,OS,harmonized,probe_ncbi,3,3,2.3091447195518335,0.09670899676242091,2.4058537163142546,1.0,0.3333333333333333
GSE234465,OS,harmonized,probe_original,3,3,2.181086892647272,-13.33099706368398,-11.149910171036709,0.0,0.0
GSE234465,OS,harmonized,flight_YA,3,3,-9.65668889652117,20.29163552034682,10.63494662382565,1.0,1.0
GSE234465,OS,harmonized,flight_OS,3,3,-10.276604211579826,22.991025639383754,12.714421427803927,1.0,1.0
GSE234465,OS,original,probe_ncbi,3,3,2.886303551711686,-4.803162330955009,-1.9168587792433225,0.0,0.0
GSE234465,OS,original,probe_original,3,3,2.416678130206037,-18.385184435008227,-15.96850630480219,0.0,0.0
GSE234465,OS,original,flight_YA,3,3,-10.366037681923064,40.32917955002904,29.963141868105975,1.0,1.0
GSE234465,OS,original,flight_OS,3,3,-11.322270962000328,37.788929987040774,26.466659025040446,1.0,1.0
GSE234465,YA,harmonized,probe_ncbi,3,3,1.6126249152025594,0.13892879516739262,1.7515537103699519,1.0,0.6666666666666666
GSE234465,YA,harmonized,probe_original,3,3,1.7309369818364466,-13.870151095835999,-12.139214113999552,0.0,0.0
GSE234465,YA,harmonized,flight_YA,3,3,-6.089607029697694,16.81683572349372,10.727228693796027,1.0,1.0
GSE234465,YA,harmonized,flight_OS,3,3,-6.61534557706409,19.76592629625611,13.150580719192021,1.0,1.0
GSE234465,YA,original,probe_ncbi,3,3,1.4020827184987943,-3.8117145517131803,-2.409631833214386,0.3333333333333333,0.0
GSE234465,YA,original,probe_original,3,3,1.6909637574602812,-18.225034991443408,-16.534071233983127,0.0,0.0
GSE234465,YA,original,flight_YA,3,3,-5.77649350699388,34.951626295562015,29.175132788568135,1.0,1.0
GSE234465,YA,original,flight_OS,3,3,-5.531537227095821,31.91147910095242,26.3799418738566,1.0,1.0
GSE298393,OS,harmonized,probe_ncbi,3,3,-3.391366109240532,5.308298572162812,1.9169324629222804,1.0,1.0
GSE298393,OS,harmonized,probe_original,3,3,-3.387134063107016,-8.34842190722812,-11.735555970335136,0.0,0.0
GSE298393,OS,harmonized,flight_YA,3,3,12.160064173236378,-2.9693112099296286,9.19075296330675,1.0,0.0
GSE298393,OS,harmonized,flight_OS,3,3,13.06517937621652,-2.4523369259950414,10.612842450221478,1.0,0.0
GSE298393,OS,original,probe_ncbi,3,3,-3.391366109240532,5.308298572162812,1.9169324629222804,1.0,1.0
GSE298393,OS,original,probe_original,3,3,-3.387134063107016,-8.34842190722812,-11.735555970335136,0.0,0.0
GSE298393,OS,original,flight_YA,3,3,12.160064173236378,-2.9693112099296286,9.19075296330675,1.0,0.0
GSE298393,OS,original,flight_OS,3,3,13.06517937621652,-2.4523369259950414,10.612842450221478,1.0,0.0
GSE298393,YA,harmonized,probe_ncbi,3,3,-2.314618081855012,4.749850190057525,2.435232108202513,1.0,1.0
GSE298393,YA,harmonized,probe_original,3,3,-3.615441148727352,-7.480214902629048,-11.0956560513564,0.0,0.0
GSE298393,YA,harmonized,flight_YA,3,3,12.164575458463787,-1.8673739402480198,10.297201518215767,1.0,0.0
GSE298393,YA,harmonized,flight_OS,3,3,10.08464584706788,2.103968027757446,12.188613874825327,1.0,1.0
GSE298393,YA,original,probe_ncbi,3,3,-2.314618081855012,4.749850190057525,2.435232108202513,1.0,1.0
GSE298393,YA,original,probe_original,3,3,-3.615441148727352,-7.480214902629048,-11.0956560513564,0.0,0.0
GSE298393,YA,original,flight_YA,3,3,12.164575458463787,-1.8673739402480198,10.297201518215767,1.0,0.0
GSE298393,YA,original,flight_OS,3,3,10.08464584706788,2.103968027757446,12.188613874825327,1.0,1.0
