evaluation,fold,model,C,n_train,n_test,omitted_train_id,balanced_accuracy,auroc,average_precision,uncalibrated_brier,TP,TN,FP,FN,prediction_agreement_with_full
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013411,0.4166666666666667,0.0,0.34678932178932176,0.5311307293854023,5,0,6,1,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,expression_linear,1,12,12,GSE298393:GSM9013412,0.5,0.0,0.34678932178932176,0.5149851784774253,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013395,0.5,0.0,0.34678932178932176,0.5002945362943676,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013396,0.5,0.0,0.34678932178932176,0.5007981921209944,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013397,0.5,0.0,0.34678932178932176,0.5109127307147109,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013398,0.5,0.0,0.34678932178932176,0.5138978600070186,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013399,0.4166666666666667,0.0,0.34678932178932176,0.5232854458666891,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013400,0.5,0.0,0.34678932178932176,0.5171036156839662,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013404,0.5,0.0,0.34678932178932176,0.5144162350331007,6,0,6,0,0.9166666666666666
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013405,0.4166666666666667,0.0,0.34678932178932176,0.529332505765536,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013406,0.4166666666666667,0.0,0.34678932178932176,0.524518815893169,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013410,0.4166666666666667,0.0,0.34678932178932176,0.5427812095867172,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013411,0.4166666666666667,0.0,0.34678932178932176,0.5430484731983579,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,pca5_linear,1,12,12,GSE298393:GSM9013412,0.4166666666666667,0.0,0.34678932178932176,0.5318868535112592,5,0,6,1,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013395,0.5,0.0,0.34678932178932176,0.49999999979707926,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013396,0.5,0.0,0.34678932178932176,0.49999999997926586,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013397,0.5,0.0,0.34678932178932176,0.499999999982122,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013398,0.5,0.0,0.34678932178932176,0.4999999999898788,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013399,0.5,0.0,0.34678932178932176,0.4999999999926578,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013400,0.5,0.0,0.34678932178932176,0.49999999997035055,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013404,0.5,0.0,0.34678932178932176,0.4999999999772025,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013405,0.5,0.0,0.34678932178932176,0.499999999853006,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013406,0.5,0.0,0.34678932178932176,0.49999999998137423,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013410,0.5,0.0,0.34678932178932176,0.4999999999499812,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013411,0.5,0.0,0.34678932178932176,0.4999999997632732,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_linear,1,12,12,GSE298393:GSM9013412,0.5,0.0,0.34678932178932176,0.49999999986689886,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013395,0.5,0.0,0.34678932178932176,0.49999999999999406,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013396,0.5,0.0,0.34678932178932176,0.49999999999999795,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013397,0.5,0.0,0.34678932178932176,0.49999999999999867,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013398,0.5,0.0,0.34678932178932176,0.4999999999999993,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013399,0.5,0.0,0.34678932178932176,0.49999999999999956,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013400,0.5,0.0,0.34678932178932176,0.4999999999999982,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013404,0.5,0.02777777777777777,0.3507575757575757,0.4999999999999907,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013405,0.5,0.02777777777777777,0.3507575757575757,0.49999999999997385,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013406,0.5,0.02777777777777777,0.3507575757575757,0.49999999999999006,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013410,0.5,0.02777777777777777,0.3507575757575757,0.49999999999999,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013411,0.5,0.02777777777777777,0.3507575757575757,0.49999999999982303,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,bridge_mean_std_linear,1,12,12,GSE298393:GSM9013412,0.5,0.02777777777777777,0.3507575757575757,0.49999999999999306,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013395,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013396,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013397,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013398,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013399,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013400,0.5,0.5,0.5,0.2526785395283284,6,0,6,0,1.0
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013404,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013405,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013406,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013410,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013411,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
cross_flight,GSE298393__to__GSE234465,pool_metadata_linear,1,12,12,GSE298393:GSM9013412,0.5,0.5,0.5,0.2526785395283284,3,3,3,3,0.5
