training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,100,matched_random,19,0.2379746301890009,0.2379746301890009,0.23944518463568043,0.2379746301890009,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,top,-1,1.0723838064423035,1.0723838064423035,1.044592906779601,1.0723838064423035,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,top,-1,1.1195935312243819,1.1195935312243819,1.044592906779601,1.1195935312243819,True
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,0,0.06932501474534547,0.06932501474534547,0.07014496936719847,0.06932501474534547,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,1,0.07761626102364971,0.07761626102364971,0.08416003014501702,0.07761626102364971,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,2,-0.0129127596253511,0.0129127596253511,-0.017226088024165708,-0.0129127596253511,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,3,-0.023387471970409024,0.023387471970409024,-0.0239714513222782,-0.023387471970409024,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,4,-0.10280024659459741,0.10280024659459741,-0.11095114076345251,-0.10280024659459741,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,5,-0.01296248439757619,0.01296248439757619,-0.017123665672929073,-0.01296248439757619,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,6,0.1070626049013299,0.1070626049013299,0.1169075292494963,0.1070626049013299,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,7,-0.0408158252719204,0.0408158252719204,-0.04255795912860067,-0.0408158252719204,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,8,-0.021980419679493934,0.021980419679493934,-0.024631638375483576,-0.021980419679493934,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,9,0.11309961800452584,0.11309961800452584,0.11276928006978862,0.11309961800452584,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,10,0.10686986481277927,0.10686986481277927,0.10853620567352885,0.10686986481277927,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,11,0.09706768499768259,0.09706768499768259,0.09982116098578017,0.09706768499768259,False
