model,training_pool,id,k,top_signed_movement,random_signed_median,random_fraction_less_than_top,top_absolute_change,random_absolute_median,top_fraction_of_reference_gap,random_fraction_of_reference_gap
bridge,YA,GSE298393:GSM9013398,100,1.322365878251503,0.0032711181859212,1.0,1.322365878251503,0.0576500105802324,0.6077409981325078,0.0015033605025787336
bridge,YA,GSE298393:GSM9013399,25,2.131522292533191,-0.0246533168245832,1.0,2.131522292533191,0.0500981493418066,1.0081737338287675,-0.011660598888114415
bridge,YA,GSE298393:GSM9013399,100,2.440359180111954,-0.0657300075404236,1.0,2.440359180111954,0.1252885806344465,1.154248320608858,-0.03108917385417869
bridge,YA,GSE298393:GSM9013400,25,0.662226386612474,0.028725858859957,1.0,0.662226386612474,0.032335629589852,0.8667484973187651,0.03759755803211251
bridge,YA,GSE298393:GSM9013400,100,1.4458680141181048,-0.0209195094719234,1.0,1.4458680141181048,0.0520844729113604,1.8924101393312383,-0.027380294361550192
bridge,YA,GSE298393:GSM9013410,25,3.892036864871216,0.0191270327939036,1.0,3.892036864871216,0.0567158143770711,0.3398264852278284,0.0016700438749325016
bridge,YA,GSE298393:GSM9013410,100,4.833624290748958,0.188598270390571,1.0,4.833624290748958,0.188598270390571,0.4220395671127398,0.016467132653687253
bridge,YA,GSE298393:GSM9013411,25,3.6253047035158943,0.0373454307687097,1.0,3.6253047035158943,0.0815537515198911,0.3625387687932774,0.00373462856179014
bridge,YA,GSE298393:GSM9013411,100,5.801360661179842,0.0526274050768051,1.0,5.801360661179842,0.0761285054269364,0.580149345623321,0.0052628609735414335
bridge,YA,GSE298393:GSM9013412,25,2.650595455198072,0.0137012543916625,1.0,2.650595455198072,0.071091761764137,0.2441868786569286,0.001262232053187682
bridge,YA,GSE298393:GSM9013412,100,4.677369566067682,0.1547382228967535,1.0,4.677369566067682,0.177636135729358,0.43090403419469747,0.01425530387293852
expression,OS,GSE298393:GSM9013395,25,-0.1094571350050201,0.0070184663552721,0.0,0.1094571350050201,0.0070184663552721,-0.012307640688264,0.0007891743382411489
expression,OS,GSE298393:GSM9013395,100,-0.0353559421486924,0.0389665932337044,0.0,0.0353559421486924,0.0389665932337044,-0.003975512716838397,0.004381503575296186
expression,OS,GSE298393:GSM9013396,25,-0.1027922878105528,0.005071906695439,0.0,0.1027922878105528,0.0077749823309266,-0.009774892713956493,0.0004823060645803055
expression,OS,GSE298393:GSM9013396,100,0.0829312290026677,0.0404607344284922,1.0,0.0829312290026677,0.0404607344284922,0.007886232356571909,0.0038475584753528023
expression,OS,GSE298393:GSM9013397,25,-0.2600305242167953,0.0043616503453614,0.0,0.2600305242167953,0.00741940488206,-0.04729310269650852,0.0007932760137708296
expression,OS,GSE298393:GSM9013397,100,-0.2451862910998662,0.0202895453589047,0.0,0.2451862910998662,0.0202895453589047,-0.04459330488098538,0.0036901650497159996
expression,OS,GSE298393:GSM9013404,25,0.0975675813701392,0.0104551658985681,1.0,0.0975675813701392,0.0104551658985681,0.00597740585410076,0.0006405280213989425
expression,OS,GSE298393:GSM9013404,100,0.4216208520964515,0.0723564070724064,1.0,0.4216208520964515,0.0723564070724064,0.025830290288446085,0.004432861870127985
expression,OS,GSE298393:GSM9013405,25,0.1523797139898935,0.0106600773993098,1.0,0.1523797139898935,0.0106600773993098,0.009516851902096026,0.0006657735155011576
expression,OS,GSE298393:GSM9013405,100,0.457931481787196,0.0599138101476193,1.0,0.457931481787196,0.0599138101476193,0.028600041169293537,0.0037419079163188906
expression,OS,GSE298393:GSM9013406,25,0.0378467723520107,0.0095640307938721,1.0,0.0378467723520107,0.0095640307938721,0.0019048339670356485,0.0004813591644882929
expression,OS,GSE298393:GSM9013406,100,0.50216378147742,0.073695272163601,1.0,0.50216378147742,0.073695272163601,0.02527398159812796,0.0037090945648290143
expression,YA,GSE298393:GSM9013398,25,-0.0400427924001062,0.0037567169835239,0.0,0.0400427924001062,0.0116501682252662,-0.0323377116147368,0.003033845122925484
