model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,OS,training_ground_mean_TPM,Coagulation,123,-0.18117498689032693,0.005966069217456938,0.012079152448410256,0.5447154471544715
bridge,OS,training_ground_mean_TPM,IL-2/STAT5 Signaling,180,0.057065456537657565,0.004512975576296026,0.013371451443829936,0.48333333333333334
bridge,OS,training_ground_mean_TPM,Bile Acid Metabolism,106,-0.05156824333989242,0.005322408423874884,0.009286608269491495,0.4811320754716981
bridge,OS,training_ground_mean_TPM,Pperoxisome,93,-0.2001633975328441,0.006929874221995336,0.01060843608334143,0.5053763440860215
bridge,OS,training_ground_mean_TPM,Allograft Rejection,161,0.22983269762183495,0.005462021678433673,0.01447512620270505,0.5093167701863354
bridge,OS,training_ground_mean_TPM,Spermatogenesis,127,0.08691089981422892,0.002698631865923267,0.005641445910845775,0.4881889763779528
bridge,OS,training_ground_mean_TPM,KRAS Signaling Up,189,0.4074421330448735,0.006202956909043261,0.019297614733557077,0.5978835978835979
bridge,OS,training_ground_mean_TPM,KRAS Signaling Dn,176,0.23084835851503105,0.0038671156985402087,0.011203220837962652,0.4602272727272727
bridge,OS,training_ground_mean_TPM,Pancreas Beta Cells,39,-0.02568145669187022,0.002583874311586025,0.001658742814775556,0.2564102564102564
bridge,YA,training_all_mean_TPM,TNF-alpha Signaling via NF-kB,183,0.17519241440768646,0.0065921725672892445,0.014018535434540328,0.5081967213114754
bridge,YA,training_all_mean_TPM,Hypoxia,184,0.7388281346976636,0.009309185510098352,0.019904555990030718,0.5054347826086957
bridge,YA,training_all_mean_TPM,Cholesterol Homeostasis,70,0.11388706793180457,0.005210417045282287,0.004238317743295292,0.4857142857142857
bridge,YA,training_all_mean_TPM,Mitotic Spindle,196,-0.11553811591681926,0.006915389870673661,0.015750550126925552,0.4897959183673469
bridge,YA,training_all_mean_TPM,Wnt-beta Catenin Signaling,40,0.03204472399377165,0.00816272913784265,0.0037941837819962447,0.375
bridge,YA,training_all_mean_TPM,TGF-beta Signaling,50,0.11920349941769091,0.006295405873373632,0.0036577727960955928,0.62
bridge,YA,training_all_mean_TPM,IL-6/JAK/STAT3 Signaling,71,0.13905953524494633,0.004386684143882624,0.0036192426404275673,0.5070422535211268
bridge,YA,training_all_mean_TPM,DNA Repair,136,0.0917305310279449,0.006189802148928885,0.009782247849239645,0.5661764705882353
bridge,YA,training_all_mean_TPM,G2-M Checkpoint,184,-0.0840687040837481,0.005893457008425448,0.012601171699907817,0.47282608695652173
