training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,observed_logit_change,renormalized
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,11,0.014403883634966285,0.014403883634966285,0.014403883634966285,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,12,-0.010183050138585972,0.010183050138585972,-0.010183050138585972,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,13,-0.029074064640960285,0.029074064640960285,-0.029074064640960285,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,14,-0.006639801104152047,0.006639801104152047,-0.006639801104152047,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,15,0.021186123558179774,0.021186123558179774,0.021186123558179774,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,16,-0.020594049690651622,0.020594049690651622,-0.020594049690651622,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,17,-0.031407228927128106,0.031407228927128106,-0.031407228927128106,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,18,-0.04709643517988778,0.04709643517988778,-0.04709643517988778,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,25,matched_random,19,0.0015248756381957616,0.0015248756381957616,0.0015248756381957616,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,top,-1,-0.09336448365341438,0.09336448365341438,-0.09336448365341438,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,0,-0.019449698923108653,0.019449698923108653,-0.019449698923108653,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,1,0.003296642230066421,0.003296642230066421,0.003296642230066421,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,2,-0.012489576464646414,0.012489576464646414,-0.012489576464646414,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,3,-0.04136768555933424,0.04136768555933424,-0.04136768555933424,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,4,-0.02054412577033137,0.02054412577033137,-0.02054412577033137,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,5,0.022288496450012213,0.022288496450012213,0.022288496450012213,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,6,-0.015566283772343635,0.015566283772343635,-0.015566283772343635,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,7,0.02424690344897843,0.02424690344897843,0.02424690344897843,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,8,0.004392821489067755,0.004392821489067755,0.004392821489067755,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,9,-0.028854643710644473,0.028854643710644473,-0.028854643710644473,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,10,0.02720641218175686,0.02720641218175686,0.02720641218175686,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,11,-0.029229292788536858,0.029229292788536858,-0.029229292788536858,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,12,0.04278201554345478,0.04278201554345478,0.04278201554345478,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,13,-0.01879035683448636,0.01879035683448636,-0.01879035683448636,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,14,0.02146013506132351,0.02146013506132351,0.02146013506132351,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,15,0.02341349438435692,0.02341349438435692,0.02341349438435692,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,16,-0.001866623439920334,0.001866623439920334,-0.001866623439920334,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,17,0.013453424388044312,0.013453424388044312,0.013453424388044312,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,18,0.034183294418889544,0.034183294418889544,0.034183294418889544,False
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,100,matched_random,19,-0.03557096726374084,0.03557096726374084,-0.03557096726374084,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,top,-1,0.06231888162017805,0.06231888162017805,0.06231888162017805,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,0,0.0033313214887942763,0.0033313214887942763,0.0033313214887942763,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,1,0.006365362207120914,0.006365362207120914,0.006365362207120914,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,2,0.0037106688783335806,0.0037106688783335806,0.0037106688783335806,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,3,0.024158125676210493,0.024158125676210493,0.024158125676210493,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,4,0.0059329142186959295,0.0059329142186959295,0.0059329142186959295,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,5,-0.0025561924024483365,0.0025561924024483365,-0.0025561924024483365,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,6,0.009514612640868812,0.009514612640868812,0.009514612640868812,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,7,-0.0012401017625335489,0.0012401017625335489,-0.0012401017625335489,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,8,0.006829803298177149,0.006829803298177149,0.006829803298177149,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,9,0.018497558186055956,0.018497558186055956,0.018497558186055956,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,10,0.008751039162981889,0.008751039162981889,0.008751039162981889,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,11,0.010184090028043605,0.010184090028043605,0.010184090028043605,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,12,0.0029452413924855444,0.0029452413924855444,0.0029452413924855444,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,13,-0.0002720609052618674,0.0002720609052618674,-0.0002720609052618674,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,14,-0.0015594831681182172,0.0015594831681182172,-0.0015594831681182172,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,15,0.004953135448239868,0.004953135448239868,0.004953135448239868,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,16,0.019981236937038002,0.019981236937038002,0.019981236937038002,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,17,0.007701144293601074,0.007701144293601074,0.007701144293601074,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,18,0.0009053033006734962,0.0009053033006734962,0.0009053033006734962,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,25,matched_random,19,0.010519040009995685,0.010519040009995685,0.010519040009995685,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,top,-1,0.1659572842096446,0.1659572842096446,0.1659572842096446,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,0,0.011435180382222273,0.011435180382222273,0.011435180382222273,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,1,-0.0032712973589865873,0.0032712973589865873,-0.0032712973589865873,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,2,0.02690858793522974,0.02690858793522974,0.02690858793522974,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,3,0.006947425949605679,0.006947425949605679,0.006947425949605679,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,4,-0.015227827943041068,0.015227827943041068,-0.015227827943041068,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,5,-0.0027571513926442767,0.0027571513926442767,-0.0027571513926442767,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,6,-0.041541827633462515,0.041541827633462515,-0.041541827633462515,False
